,sex,num_segs,var_segs,wmean_segs,disp_segs
CDS-PxBI5X,Male,278,347.4995214725799,0.07455705800655732,4660.85345591315
CDS-m7XYuu,U,225,59.39093800400319,0.08306419689174656,715.0004481642608
CDS-nru2hL,Male,230,0.24162111806526035,0.8133459688974112,0.29707053001419187
CDS-SPHuIC,Female,346,0.6910645048622316,0.04034784011576889,17.127670350615553
CDS-9dGLw6,Male,3,0.02317232562048827,0.32630254500070827,0.07101484795479597
CDS-W8Qvx2,Male,1,0.0,0.4166225980739152,0.0
CDS-eIj3M5,U,341,0.12166368824985026,0.01452623605879274,8.375444799150648
CDS-yn3mxf,Male,6,0.03104496646443516,0.14684215401397785,0.21141726415617687
CDS-HMO5wH,Male,34,3.6284651325061956,1.2379616833292753,2.9309995465676217
CDS-xvtYY4,Female,950,0.005671618349832785,0.044977395132024645,0.12609930684479545
CDS-YBo5V2,Female,312,0.086354925028751,0.029581387944637272,2.919231686841998
CDS-ucVmnw,Female,481,91.74210055278297,0.08672468770765121,1057.8544930832782
CDS-0bV15m,Male,1,0.0,0.7173345380063273,0.0
CDS-Mxb6kx,Female,321,45.83992994204807,0.07755650085188298,591.0520644761029
CDS-YOHMJr,Female,280,22.044253751073263,0.021493720494810006,1025.613678953171
CDS-2q4B3f,U,1,0.0,0.4984176281676388,0.0
CDS-bNHw6E,Male,3,0.04682777887392683,0.4964030058709478,0.09433419685234715
CDS-H06sEb,Female,269,15.10528225071833,0.024246318515011113,622.9928160585087
CDS-f2OOp6,Male,313,0.4419698141585538,0.016236362367355282,27.220987322084856
CDS-WiJdsP,Male,1,0.0,0.478945697939388,0.0
CDS-GL5YYy,Female,281,0.4437808419308422,0.06206151920238486,7.150660306649227
CDS-Mcdv5p,Male,363,0.20410168998715117,0.014267575506424166,14.305281923705374
CDS-Uk1KDP,Male,6,0.09578428751720537,0.6924039822095085,0.13833584147155126
CDS-e0vZsR,Male,271,0.6043977101824405,0.019229341984968396,31.43101363816292
CDS-sWdZfm,Female,312,0.369866653709034,0.014280004798651852,25.901017466321328
CDS-Rd4nMx,Male,267,79.83386835950108,0.29075204379593417,274.57715281111797
CDS-hbx0C6,U,264,120.64680391660967,0.08281482257811458,1456.826207685349
CDS-82ZkGF,Male,228,345.74899520688325,0.1188212390394364,2909.824859612264
CDS-oHDMRa,Female,257,85.97544090057166,0.07665284489539474,1121.6210046463261
CDS-ulp4x8,Female,378,161.1904006309823,0.17443300607634768,924.0819971905477
CDS-hKsmPi,Male,501,0.05051090283472693,0.040976432149099386,1.232681816975544
CDS-Ozbqsy,Female,182,0.7986546120264961,3.326188712193428,0.24011103431946587
CDS-rIh3Gy,Female,220,2.029200489414924,0.053007615866695376,38.28130083265768
CDS-IKEsMQ,Male,1,0.0,0.5236881990009873,0.0
CDS-Q8aHBq,Female,307,0.43357789611062336,0.021107727588157665,20.541192522963915
CDS-aHx2GL,Male,1,0.0,0.3945715933423559,0.0
CDS-7Eha3A,Male,9,0.07314877061724362,0.06272783353302515,1.1661293957925714
CDS-DjwMhs,Female,294,284.6202559185707,0.12209557019387957,2331.1268006416026
CDS-maYyfG,Female,231,25.964533764199352,0.05906281310790355,439.60882318226186
CDS-6Rxrv4,Male,1,0.0,0.4335667420232134,0.0
CDS-sKf2sh,Male,215,40.03267102732532,0.02018106339123707,1983.6750051886822
CDS-BwSmbX,Female,276,87.45118172627353,0.06148204757283647,1422.3856422913043
CDS-2qfMjx,Male,1,0.0,0.2591824612190009,0.0
CDS-EnKWpV,Female,438,74.06716721059269,0.05382600979007786,1376.0478902199068
CDS-p8hyX4,Male,359,0.1940206314668787,0.011528244152658136,16.83002449441897
CDS-Cj2ObY,Male,190,1.92584339592876,0.2587700305197267,7.442296899918432
CDS-lirQKW,Male,288,0.14378192546065696,0.013781886428693133,10.43267380010554
CDS-kd8VVQ,Female,412,0.3221652818116019,0.03918303056611413,8.222061365774337
CDS-8Ut3sT,Male,1,0.0,0.409379282868012,0.0
CDS-GRed6n,Male,222,11.571487243591971,0.02103537043814293,550.096670634793
CDS-rBd85E,Male,2,9.673415579291923e-05,0.44527611374865944,0.00021724532892308207
CDS-TNhkS1,Female,268,0.14676711625102537,0.12027537175297048,1.220259094708644
CDS-FwnyU0,Male,364,1.6633284904437062,0.01966192076810521,84.59643948631366
CDS-5VcBUG,Male,206,0.5169910288971648,0.015760826225234136,32.80227962093939
CDS-Kr3gYh,Female,269,98.60620002617334,0.10686963439919615,922.6774338709166
CDS-VH59KV,Female,261,37.549835131874836,0.08074355934609997,465.0505307912035
CDS-5KPLaO,Male,1,0.0,0.3132021453833599,0.0
CDS-hRmID2,Male,4,0.037909945886994326,0.4120241829879561,0.09200903114976257
CDS-ttmLuC,U,1,0.0,0.5232244993613914,0.0
CDS-V2KlEn,Female,315,0.5727386400470255,0.021192216325337684,27.02589626561389
CDS-NDaM5V,Male,611,3.601012707080842,0.07053742473552761,51.05109409058308
CDS-8Is9nq,Male,276,52.18693062583479,0.02655479714320224,1965.25435100882
CDS-Qqy4Sv,Male,183,5.6530811487024355,11.122468505383933,0.5082577798234277
CDS-qJ5FV2,Male,3,0.29374003754409217,0.6832241750298285,0.429932148597154
CDS-k27QXa,Female,250,1.4878995463660303,0.03475570936838838,42.81021948351688
CDS-Mw0MtS,Female,206,11.263828115797644,0.014463169083373154,778.7939179074198
CDS-FylkjA,Male,5,0.2429515020538539,0.969242976104713,0.2506610912263206
CDS-FfS0KQ,Male,3,0.11926101650691494,0.7326774677162394,0.1627742379995011
CDS-wzFULi,Male,328,0.36118305468079837,0.03707586158986644,9.741730581374183
CDS-GXeyUw,Male,1,0.0,0.5370565829114783,0.0
CDS-UTp8wZ,Male,268,0.6751819626380474,0.039751374564422126,16.98512240234183
CDS-ZJh6UN,Female,387,45.711267743490644,0.08152700573136427,560.6886617927763
CDS-lyf6Uw,U,1,0.0,0.4946870369727516,0.0
CDS-kQrJXE,Female,213,19.353020939539455,0.028710347427968682,674.078256562175
CDS-EHvGog,Male,328,11.508105871845842,0.02629969628771671,437.57561859072536
CDS-NLKrJU,Male,1,0.0,0.4676146389169597,0.0
CDS-559hUY,Male,56,4.147120315728391,0.85704623281575,4.838852511028946
CDS-j6kc2h,Male,236,14.918397841184062,0.024256106863224897,615.036779203925
CDS-h7rJXf,Female,278,34.4987620587081,0.08980970481114092,384.13178321045456
CDS-XmQA0x,Male,299,0.6479732352888238,0.05185434186700492,12.496026599869571
CDS-yi2mtY,Female,275,398.08119154527435,0.12356503927410122,3221.6328654436056
CDS-KWhXWT,Male,3,0.06060700005416068,0.5199323146919033,0.11656709602686384
CDS-M9kJ4N,Female,189,31.489101890456194,0.018200228405877244,1730.148720567028
CDS-2I6NbU,Female,242,39.31161714875388,0.023547836749389116,1669.4364568233095
CDS-NcytGl,Female,233,84.45999849165655,0.029628843503969195,2850.6005804898177
CDS-AeyYn4,Male,7,0.05478110844223927,0.5091076266143957,0.10760221528508185
CDS-R99tiF,Male,281,0.1780988803801734,0.012875655951764528,13.832218028143728
CDS-1G47Qx,Female,228,1.2852600080761278,0.0213372770197986,60.23542773914173
CDS-cjMTSm,Female,242,23.039121759235577,0.05052478693046361,455.9964159956562
CDS-wtUKby,Male,5,0.06345921594976914,0.49800248436659844,0.12742750878137069
CDS-bx1Adl,U,342,0.7842742917730461,0.04660526438644382,16.828019368583814
CDS-753lzg,Female,247,13.466494069772525,0.042960889483822456,313.45938670202645
CDS-jP9Ha0,Female,306,307.9110610783635,0.05653324202367424,5446.548792468343
CDS-1YwLXW,Male,629,0.4486314796283661,0.011424344565506927,39.26977841537635
CDS-G0Lkdv,Male,269,0.34952549249783027,0.015339679274460016,22.785710590427858
CDS-nC6iXU,Male,1,0.0,0.5868916144322508,0.0
CDS-0e3PRe,Female,217,7.902110909753254,0.0335150766357784,235.7777962326812
CDS-jknnae,Female,211,56.92723109126684,0.05549661087396676,1025.778515025882
CDS-R2wJiU,U,5,0.11302324609439243,0.39262557263705894,0.28786521808876303
CDS-j6s4KS,Male,1,0.0,0.2973805093993301,0.0
CDS-RDBHMv,U,18,0.03521531148065096,0.558812499957781,0.06301811695928693
CDS-p69aRs,Male,3,0.1335450928660367,0.7776265986802963,0.1717342142008452
CDS-BLsNdt,Female,257,15.4898658408711,0.018600866525286645,832.7496904412305
CDS-pszEOi,Male,3,0.019511329515230533,0.39176548773923925,0.04980359456322849
CDS-q4czwx,Female,337,6.015241870830684,0.045190251817447805,133.1092797431197
CDS-Q35ZbB,Female,1,0.0,0.4456917001912815,0.0
CDS-5Kb44c,Female,239,21.654437333190266,0.019779198471134192,1094.808637710613
CDS-BXIBwR,Male,252,173.58680331721877,0.10339276385783891,1678.9066936627594
CDS-jFfACT,Male,252,27.192882409816644,0.01867042073515699,1456.4686460767105
CDS-eeR89p,Male,465,30.572141827019596,0.0918458598454638,332.86358120506543
CDS-vNnvMG,Male,1,0.0,0.5690127954330717,0.0
CDS-uXkGBY,Female,217,9.913186900770034,0.031219077269276974,317.53619158134785
CDS-x8gnvF,Female,336,0.844126091476254,0.013402973102758902,62.98051074223949
CDS-Akl3B7,Female,540,84.19238989918271,0.1899852657547219,443.15220743422407
CDS-y7yI24,Male,190,34.08610580755466,0.027096628282081987,1257.9463929131934
CDS-JsZ9Nh,Female,191,124.28078233421378,0.03179810465327602,3908.433653180322
CDS-2Ww8hQ,Male,378,0.41905049264475164,0.025257177450904597,16.591342934471214
