,name,namespace,rootEntityType,methodName,methodVersion,methodNamespace,methodUri,sourceRepo
0,markduplicates_v1-0_BETA_cfg,broadinstitute_gtex,sample,markduplicates_v1-0_BETA,2,broadinstitute_gtex,agora://broadinstitute_gtex/markduplicates_v1-0_BETA/2,agora
1,rnaseqc2_v1-0_BETA_cfg,broadinstitute_gtex,sample,rnaseqc2_v1-0_BETA,2,broadinstitute_gtex,agora://broadinstitute_gtex/rnaseqc2_v1-0_BETA/2,agora
2,rsem_aggregate_results_v1-0_BETA_cfg,broadinstitute_gtex,sample_set,rsem_aggregate_results_v1-0_BETA,3,broadinstitute_gtex,agora://broadinstitute_gtex/rsem_aggregate_results_v1-0_BETA/3,agora
3,rsem_v1-0_BETA_cfg,broadinstitute_gtex,sample,rsem_v1-0_BETA,5,broadinstitute_gtex,agora://broadinstitute_gtex/rsem_v1-0_BETA/5,agora
4,samtofastq_v1-0_BETA_cfg,broadinstitute_gtex,sample,samtofastq_v1-0_BETA,6,broadinstitute_gtex,agora://broadinstitute_gtex/samtofastq_v1-0_BETA/6,agora
5,star_v1-0_BETA_cfg,broadinstitute_gtex,sample,star_v1-0_BETA,7,broadinstitute_gtex,agora://broadinstitute_gtex/star_v1-0_BETA/7,agora
6,ExonUsage_hg38,CCLE,sample,ExonUsage,15,CCLE,agora://CCLE/ExonUsage/15,agora
7,AggregateExonUsageRObj_hg38,ccle_mg,sample_set,AggregateExonUsageRObj,2,ccle_mg,agora://ccle_mg/AggregateExonUsageRObj/2,agora
8,Aggregate_Fusion_Calls,gkugener,sample_set,Aggregate_files_set,2,gkugener,agora://gkugener/Aggregate_files_set/2,agora
9,ExonUsage_hg38_fixed,gkugener,sample,ExonUsage_fixed,1,gkugener,agora://gkugener/ExonUsage_fixed/1,agora
10,EXPENSIVE_STAR_Fusion_after_STAR,gkugener,sample,STAR_Fusion_after_STAR,4,gkugener,agora://gkugener/STAR_Fusion_after_STAR/4,agora
11,hg38_STAR_fusion,gkugener,sample,STAR_fusion,14,gkugener,agora://gkugener/STAR_fusion/14,agora
12,rnaseq-germline-snps-indels_copy,jkobject,sample,rnaseq-germline-snps-indels_copy,4,jkobject,agora://jkobject/rnaseq-germline-snps-indels_copy/4,agora
13,rsem_aggregate_results,jkobject,sample_set,rsem_aggregate_results,4,jkobject,agora://jkobject/rsem_aggregate_results/4,agora
