,name,namespace,rootEntityType,methodName,methodVersion,methodNamespace,methodUri,sourceRepo
0,common_variant_filter,breardon,sample,common_variant_filter,18,breardon,agora://breardon/common_variant_filter/18,agora
1,aggregateMAFs_selectFields_copy,gkugener,sample_set,aggregateMAFs_selectFields_copy,1,gkugener,agora://gkugener/aggregateMAFs_selectFields_copy/1,agora
2,filterMAF_on_CGA_pipeline,gkugener,sample,filterMAF_on_CGA_pipeline,9,gkugener,agora://gkugener/filterMAF_on_CGA_pipeline/9,agora
3,cram_to_bam_v1-0_BETA_cfg,broad-firecloud-ccle,gtex_sample,cram_to_bam_v1-0_BETA,3,francois,agora://francois/cram_to_bam_v1-0_BETA/3,agora
4,align_ubam_to_hg19,broad-firecloud-ccle,gtex_sample,PreProcessingForVariantDiscovery_GATK4,8,gatk,agora://gatk/PreProcessingForVariantDiscovery_GATK4/8,agora
5,BamToUnmappedRGBams_MC,broad-firecloud-ccle,sample,BamToUnmappedRGBams,4,vdauwera,agora://vdauwera/BamToUnmappedRGBams/4,agora
6,ArrayOfFilesToTxt,gkugener,sample,ArrayOfFilesToTxt,1,gkugener,agora://gkugener/ArrayOfFilesToTxt/1,agora
7,PreProcessingForVariantDiscovery,gatk,sample,PreProcessingForVariantDiscovery_GATK4,8,gatk,agora://gatk/PreProcessingForVariantDiscovery_GATK4/8,agora
8,aggregateMAFs_selectFields_unfiltered,broad-firecloud-ccle,sample_set,aggregateMAFs_selectFields_copy,1,gkugener,agora://gkugener/aggregateMAFs_selectFields_copy/1,agora
9,CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019_copy,jnoorbak,sample,CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019_copy,3,jnoorbak,agora://jnoorbak/CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019_copy/3,agora
