,profile_id,sequencing_id
2055,PR-01ojqp,CDS-Axc6r1
1213,PR-01r7OM,CDS-VrDVLb
1041,PR-02J1g6,CDS-aqzI72
3318,PR-02XmLG,CDS-Ojthmn
5660,PR-032KRL,CDS-Ul5Cuq
678,PR-03qHWS,CDS-gcCExz
100,PR-045poV,CDS-5N4z2R
407,PR-04VvBz,CDS-5BYnuY
1348,PR-07yzSq,CDS-Tjk9Pt
4163,PR-08baLC,CDS-MBymr2
393,PR-09S1KU,CDS-vdjaWG
2861,PR-09gmEI,CDS-2M7COz
1033,PR-09xwH2,CDS-c9iPij
3426,PR-0B6q0Z,CDS-fTMmBU
3365,PR-0BjDsQ,CDS-09DyGT
703,PR-0CHfFI,CDS-2AC5eR
3713,PR-0DEQ8n,CDS-FbX85A
1280,PR-0Dc0DP,CDS-Yir6ME
3975,PR-0EttT6,CDS-69ogei
5707,PR-0EypNA,CDS-ucVmnw
4252,PR-0H05VY,CDS-8XUdse
6405,PR-0HHXsp,CDS-0ZhPbc
480,PR-0HbjBS,CDS-iPV6A0
5599,PR-0IljO4,CDS-EUBjhX
5437,PR-0In5Ho,CDS-1RFloP
536,PR-0JTYIb,CDS-ZnVx7G
1876,PR-0KetCf,CDS-PPjT45
1742,PR-0M0gNH,CDS-UFAuQl
5801,PR-0M18kZ,CDS-Re5E90
912,PR-0NLPeq,CDS-lirQKW
5869,PR-0NZTmr,CDS-WTlh8l
3833,PR-0NiTNx,CDS-KXIABe
6755,PR-0OiVj9,CDS-uRphL1
5375,PR-0P77hD,CDS-4WMDUY
3073,PR-0PSp7b,CDS-xfgxjz
1234,PR-0QFNfM,CDS-5q8Y78
2819,PR-0QyhdT,CDS-w2TTDc
5873,PR-0SNESh,CDS-FlmgYW
3156,PR-0TAEib,CDS-sciaLJ
4203,PR-0TqtF4,CDS-lVqjv1
5731,PR-0XQ6oe,CDS-2K0HGg
2591,PR-0XpJYu,CDS-Q7Ap5p
3462,PR-0XuLau,CDS-N6nU6v
2772,PR-0ZqBjs,CDS-XXq9xq
6471,PR-0Zt9XK,CDS-wLk8ue
416,PR-0b3heF,CDS-ekq3ei
1064,PR-0c2Lny,CDS-5YK6Pb
3530,PR-0ccWFQ,CDS-r0XUYR
4187,PR-0dHyNy,CDS-1RUWjG
6578,PR-0dMM5q,CDS-n400D5
6018,PR-0epZXZ,CDS-yxY4Cz
782,PR-0f2vAo,CDS-3SCAaf
2188,PR-0fBntb,CDS-CgtX3j
2579,PR-0fKvEh,CDS-p3qlyo
990,PR-0fum2y,CDS-rYurDd
5704,PR-0g14RE,CDS-mNZXgf
4917,PR-0hdbB5,CDS-0blXSb
2393,PR-0hiydg,CDS-cPzLk2
910,PR-0hvX2B,CDS-YpSw2C
3397,PR-0jK5CP,CDS-QVxvDg
4719,PR-0kBhJF,CDS-ttmLuC
5261,PR-0l1GM0,CDS-aZzNqN
3247,PR-0lYTUJ,CDS-qBz4o9
895,PR-0mCrkq,CDS-Kyh04v
5284,PR-0mjPJ6,CDS-XBx5Ic
1076,PR-0ndQ3C,CDS-lMZSdf
5812,PR-0o2rt1,CDS-gG7gPJ
6654,PR-0o6ywu,CDS-rvqgUM
4973,PR-0o8gg7,CDS-ZFpwN7
5456,PR-0oGaGk,CDS-PxXgPG
4170,PR-0p3nvU,CDS-z1Ejcm
170,PR-0pRAbC,CDS-Efktce
1699,PR-0qGhSp,CDS-UWeyWt
2965,PR-0qQ705,CDS-pGwPQ6
5736,PR-0qqA8m,CDS-7Eha3A
4805,PR-0riUD0,CDS-Lw91ng
3099,PR-0rx9JA,CDS-6dN5Uq
2960,PR-0sYHco,CDS-BtUuqV
2354,PR-0sb1bx,CDS-0ZKINi
2940,PR-0tdcT8,CDS-gcC63F
4423,PR-0uOVuE,CDS-RVQ0HX
2971,PR-0uSN5g,CDS-NUrXw4
3148,PR-0v7sOP,CDS-OlYpbz
6540,PR-0vINre,CDS-8ataCN
6424,PR-0wkCvS,CDS-nGtgaI
387,PR-0yCTLT,CDS-rQjmI6
3186,PR-0ym28D,CDS-HJpZKK
591,PR-0yqA6t,CDS-AYLkFW
1810,PR-0z5dYr,CDS-F182u3
1527,PR-0zqOQm,CDS-PLrZx3
534,PR-10HKBM,CDS-SB9XxP
679,PR-10vZ6j,CDS-lOKmeq
803,PR-117P1d,CDS-9YOSVA
2275,PR-11IVol,CDS-2nRwQi
684,PR-11LrS9,CDS-gE7gGi
3548,PR-11OFEY,CDS-mpgJOV
3983,PR-11UHTI,CDS-85xT00
6121,PR-12QdUO,CDS-HVVY6x
2264,PR-12SQGk,CDS-GE19k6
3135,PR-12qkb6,CDS-4c7T4e
5137,PR-132fPs,CDS-3zyz6n
4565,PR-13yiDs,CDS-2EUJ0k
2709,PR-14WoYv,CDS-KoBwnR
3243,PR-14sBTC,CDS-WU9PT0
3379,PR-153MiQ,CDS-Uq5Vx5
1586,PR-154rH2,CDS-lNgjRY
1725,PR-16wddw,CDS-k9V4WF
275,PR-18vhzQ,CDS-naESZ4
3506,PR-191Fbv,CDS-HHbqZS
3649,PR-1930g1,CDS-nPxoTc
1306,PR-1AexRK,CDS-oloAgD
4657,PR-1AtrhT,CDS-fmStAK
1783,PR-1B5abd,CDS-BaJNpl
5333,PR-1CEnzd,CDS-VcbuYV
653,PR-1CYINn,CDS-3uTvmK
3476,PR-1CZEjJ,CDS-qb5qpZ
2664,PR-1DEeyk,CDS-CGQ5oD
2289,PR-1DMQEW,CDS-9fHqHj
1243,PR-1Dpd7i,CDS-cxSrLr
278,PR-1ExPUw,CDS-dRC7Ou
2810,PR-1F684a,CDS-dOE5PA
5005,PR-1FJvWv,CDS-XCeiVJ
3922,PR-1GbOQ3,CDS-YBKO0T
1924,PR-1H8nlp,CDS-ZD2GUp
1654,PR-1I95pE,CDS-2C2P2k
3432,PR-1JTXkC,CDS-FwnyU0
5787,PR-1JkFPD,CDS-W9PyzI
4677,PR-1Ju43a,CDS-at5gh5
2508,PR-1JvOum,CDS-BpYxts
2301,PR-1KE6K3,CDS-NtTy7F
6268,PR-1KOUb5,CDS-LOaYCV
6115,PR-1KtKNh,CDS-yvZM8J
603,PR-1L0uUP,CDS-U8iPqs
705,PR-1L6wsI,CDS-lYWIiH
1900,PR-1MocB0,CDS-ISBX9f
1466,PR-1N6qJb,CDS-Ce8dA2
2363,PR-1NGHoM,CDS-tDxRIl
5098,PR-1O300i,CDS-HHvGKE
