																									
	Table S2. Cell lines annotations. 																								
																									
	cLine_ID	Aliases	RRID CVCL…	MSI	Tissue	Subtissue	Histology	Subhistology	Gender	Age	Ethnicity	Grade_Stage	Source	COSMIC_ID	COSMIC_membership	ArrayID_CCLE	CCLE_membership	NCI60_membership							
	HEL	NA	_0001	MSI-S	Haematopoietic and lymphoid	NA	Haematopoietic neoplasm	"Acute myeloid leukaemia; M6"	Male	30	Caucasian	NA	Primary	907053	Y	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C09_698706	Y	NA							
	HL-60	HL60	_0002	MSI-S	Haematopoietic and lymphoid	NA	Haematopoietic neoplasm	"Acute myeloid leukaemia; M3"	Female	36	Caucasian	NA	Primary	905938	Y	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D12_246704	Y	Y							
	K-562	K562	_0004	MSI-S	Haematopoietic and lymphoid	NA	Haematopoietic neoplasm	Chronic myeloid leukaemia	Female	53	NA	NA	Primary	905940	Y	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C01_246658	Y	Y							
	NB4	NB-4	_0005	MSI-S	Haematopoietic and lymphoid	NA	Haematopoietic neoplasm	"Acute myeloid leukaemia; M3"	Female	23	NA	NA	NA	1323913	Y	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_B06_490494	Y	NA							
	THP-1	THP1	_0006	MSI-S	Haematopoietic and lymphoid	NA	Haematopoietic neoplasm	"Acute myeloid leukaemia; M5"	Male	1	NA	NA	Primary	909771	Y	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H03_410938	Y	NA							
	U-937	U937	_0007	NA	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Diffuse large B-cell lymphoma	Male	37	Caucasian	NA	NA	NA	NA	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C08_437268	Y	NA							
	Daudi	DAUDI	_0008	MSI-L	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Burkitt lymphoma	Male	16	Black	NA	Primary	906831	Y	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D03_411032	Y	NA							
	HDLM-2	HDLM2	_0009	MSI-S	Haematopoietic and lymphoid	Lymph node	Lymphoid neoplasm	Hodgkin lymphoma	Male	74	NA	NA	Metastasis	924110	Y	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F02_490448	Y	NA							
	LP-1	NA	_0012	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Plasma cell myeloma	Female	56	NA	NA	Primary	907791	Y	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E07_578286	Y	NA							
	MOLT-4	MOLT4	_0013	MSI-H	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphobastic leukaemia	Male	19	NA	NA	Primary	905958	Y	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D04_246688	Y	Y							
	RPMI-8226	RPMI8226	_0014	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Plasma cell myeloma	Male	61	NA	NA	Primary	905964	Y	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B07_246646	Y	Y							
	U-698-M	NA	_0017	MSI-S	Haematopoietic and lymphoid	NA	Lymphoid neoplasm	Acute lymphoblastic B cell leukaemia	Male	7	NA	NA	Primary	909777	Y	NA	NA	NA							
	D341 Med	D341MED	_0018	NA	CNS	Cerebellum	Primitive neuroectodermal tumour-medulloblastoma	NA	Male	5,4	Caucasian	NA	NA	NA	NA	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A01_464622	Y	NA							
	SH-SY5Y	SHSY5Y	_0019	NA	Autonomic ganglia	NA	Neuroblastoma	NA	Female	4	Caucasian	NA	NA	NA	NA	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C07_698686	Y	NA							
	U-138MG	U138MG	_0020	NA	CNS	Brain	Glioma	Astrocytoma	Male	47	Caucasian	NA	NA	NA	NA	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C03_698734	Y	NA							
	U-251MG	"U251MG; U251"	_0021	MSI-S	CNS	Brain	Glioma	Astrocytoma	Male	75	NA	NA	Primary	905983	Y	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G11_293444	Y	Y							
