ccle_name,canonical_ccle_name,broad_id
NIHOVCAR3_OVARY,NIHOVCAR3_OVARY,ACH-000001
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000002
CACO2_LARGE_INTESTINE,CACO2_LARGE_INTESTINE,ACH-000003
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000004
HEL9217_2013_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000005
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000005
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000006
LS513_LARGE_INTESTINE,LS513_LARGE_INTESTINE,ACH-000007
A101D_SKIN,A101D_SKIN,ACH-000008
C2BBE1_LARGE_INTESTINE,C2BBE1_LARGE_INTESTINE,ACH-000009
NCIH2077_LUNG,NCIH2077_LUNG,ACH-000010
253J_URINARY_TRACT,253J_URINARY_TRACT,ACH-000011
HCC827_LUNG,HCC827_LUNG,ACH-000012
ONCODG1_OVARY,ONCODG1_OVARY,ACH-000013
HS294T_SKIN,HS294T_SKIN,ACH-000014
NCIH1581_LUNG,NCIH1581_LUNG,ACH-000015
SLR21_KIDNEY,SLR21_KIDNEY,ACH-000016
SKBR3_BREAST,SKBR3_BREAST,ACH-000017
T24_URINARY_TRACT,T24_URINARY_TRACT,ACH-000018
MCF7_BREAST,MCF7_BREAST,ACH-000019
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000020
NCIH1693_LUNG,NCIH1693_LUNG,ACH-000021
PATU8988S_PANCREAS,PATU8988S_PANCREAS,ACH-000022
PATU8988T_PANCREAS,PATU8988T_PANCREAS,ACH-000023
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000024
CH157MN_CENTRAL_NERVOUS_SYSTEM,CH157MN_CENTRAL_NERVOUS_SYSTEM,ACH-000025
253JBV_URINARY_TRACT,253JBV_URINARY_TRACT,ACH-000026
GOS3_CENTRAL_NERVOUS_SYSTEM,GOS3_CENTRAL_NERVOUS_SYSTEM,ACH-000027
KPL1_BREAST,KPL1_BREAST,ACH-000028
HCC827GR5_LUNG,HCC827GR5_LUNG,ACH-000029
PC14_LUNG,PC14_LUNG,ACH-000030
PANC0213_PANCREAS,PANC0213_PANCREAS,ACH-000031
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000032
NCIH1819_LUNG,NCIH1819_LUNG,ACH-000033
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000034
NCIH1650_LUNG,NCIH1650_LUNG,ACH-000035
U343_CENTRAL_NERVOUS_SYSTEM,U343_CENTRAL_NERVOUS_SYSTEM,ACH-000036
S117_SOFT_TISSUE,S117_THYROID,ACH-000037
S117_THYROID,S117_THYROID,ACH-000037
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000038
