ccle_name,canonical_ccle_name,broad_id
SKNMC_BONE,SKNMC_BONE,ACH-000039
U118MG_CENTRAL_NERVOUS_SYSTEM,U118MG_CENTRAL_NERVOUS_SYSTEM,ACH-000040
RDES_BONE,RDES_BONE,ACH-000041
PANC0203_PANCREAS,PANC0203_PANCREAS,ACH-000042
HS895T_SKIN,HS895T_FIBROBLAST,ACH-000043
HS895T_FIBROBLAST,HS895T_FIBROBLAST,ACH-000043
MDAMB134VI_BREAST,MDAMB134VI_BREAST,ACH-000044
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000045
ACHN_KIDNEY,ACHN_KIDNEY,ACH-000046
GCIY_STOMACH,GCIY_STOMACH,ACH-000047
TOV112D_OVARY,TOV112D_OVARY,ACH-000048
HEKTE_KIDNEY,HEKTE_KIDNEY,ACH-000049
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000050
TE617T_SOFT_TISSUE,TE617T_SOFT_TISSUE,ACH-000051
A673_BONE,A673_BONE,ACH-000052
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000053
HT1080_SOFT_TISSUE,HT1080_SOFT_TISSUE,ACH-000054
D283MED_CENTRAL_NERVOUS_SYSTEM,D283MED_CENTRAL_NERVOUS_SYSTEM,ACH-000055
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000056
OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000057
ML1_THYROID,ML1_THYROID,ACH-000058
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000059
PANC1005_PANCREAS,PANC1005_PANCREAS,ACH-000060
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000061
RERFLCMS_LUNG,RERFLCMS_LUNG,ACH-000062
HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HS616T_FIBROBLAST,ACH-000063
HS616T_FIBROBLAST,HS616T_FIBROBLAST,ACH-000063
SALE_LUNG,SALE_LUNG,ACH-000064
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000065
HCC4006_LUNG,HCC4006_LUNG,ACH-000066
HS683_CENTRAL_NERVOUS_SYSTEM,HS683_CENTRAL_NERVOUS_SYSTEM,ACH-000067
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000068
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000069
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000070
HS706T_BONE,HS706T_BONE,ACH-000071
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000072
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000073
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000074
U87MG_CENTRAL_NERVOUS_SYSTEM,U87MG_CENTRAL_NERVOUS_SYSTEM,ACH-000075
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000076
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000077
MHHNB11_AUTONOMIC_GANGLIA,MHHNB11_AUTONOMIC_GANGLIA,ACH-000078
TE125T_FIBROBLAST,TE125T_FIBROBLAST,ACH-000079
TE125T_SOFT_TISSUE,TE125T_FIBROBLAST,ACH-000079
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000080
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000081
G292CLONEA141B1_BONE,G292CLONEA141B1_BONE,ACH-000082
HS281T_FIBROBLAST,HS281T_FIBROBLAST,ACH-000083
HS281T_BREAST,HS281T_FIBROBLAST,ACH-000083
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000084
T3M4_PANCREAS,T3M4_PANCREAS,ACH-000085
ACCMESO1_PLEURA,ACCMESO1_PLEURA,ACH-000086
SKES1_BONE,SKES1_BONE,ACH-000087
HS172T_FIBROBLAST,HS172T_FIBROBLAST,ACH-000088
HS172T_URINARY_TRACT,HS172T_FIBROBLAST,ACH-000088
NCIH684_LIVER,NCIH684_LARGE_INTESTINE,ACH-000089
NCIH684_LARGE_INTESTINE,NCIH684_LARGE_INTESTINE,ACH-000089
PC3_PROSTATE,PC3_PROSTATE,ACH-000090
OV56_OVARY,OV56_OVARY,ACH-000091
NCIH2452_PLEURA,NCIH2452_PLEURA,ACH-000092
PANC0504_PANCREAS,PANC0504_PANCREAS,ACH-000093
HPAFII_PANCREAS,HPAFII_PANCREAS,ACH-000094
D341_CENTRAL_NERVOUS_SYSTEM,D341MED_CENTRAL_NERVOUS_SYSTEM,ACH-000095
D341MED_CENTRAL_NERVOUS_SYSTEM,D341MED_CENTRAL_NERVOUS_SYSTEM,ACH-000095
G401_SOFT_TISSUE,G401_SOFT_TISSUE,ACH-000096
ZR751_BREAST,ZR751_BREAST,ACH-000097
GAMG_CENTRAL_NERVOUS_SYSTEM,GAMG_CENTRAL_NERVOUS_SYSTEM,ACH-000098
SIMA_AUTONOMIC_GANGLIA,SIMA_AUTONOMIC_GANGLIA,ACH-000099
RH41_SOFT_TISSUE,RH41_SOFT_TISSUE,ACH-000100
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000101
GMS10_CENTRAL_NERVOUS_SYSTEM,GMS10_CENTRAL_NERVOUS_SYSTEM,ACH-000102
CAOV4_OVARY,CAOV4_OVARY,ACH-000103
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000104
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000105
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000106
CAPAN2_PANCREAS,CAPAN2_PANCREAS,ACH-000107
KP3_PANCREAS,KP3_PANCREAS,ACH-000108
NCIH3255_LUNG,NCIH3255_LUNG,ACH-000109
NCCSTCK140_STOMACH,NCCSTCK140_STOMACH,ACH-000110
HCC1187_BREAST,HCC1187_BREAST,ACH-000111
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000112
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000113
SU8686_PANCREAS,SU8686_PANCREAS,ACH-000114
VCAP_PROSTATE,VCAP_PROSTATE,ACH-000115
OAW28_OVARY,OAW28_OVARY,ACH-000116
EFM192A_BREAST,EFM192A_BREAST,ACH-000117
HUPT3_PANCREAS,HUPT3_PANCREAS,ACH-000118
HS863T_BONE,HS863T_FIBROBLAST,ACH-000119
HS863T_FIBROBLAST,HS863T_FIBROBLAST,ACH-000119
CHP212_AUTONOMIC_GANGLIA,CHP212_AUTONOMIC_GANGLIA,ACH-000120
NCIH2405_LUNG,NCIH2405_LUNG,ACH-000121
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000122
COV434_OVARY,COV434_OVARY,ACH-000123
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000124
TO175T_FIBROBLAST,TO175T_FIBROBLAST,ACH-000125
TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TO175T_FIBROBLAST,ACH-000125
KG1C_CENTRAL_NERVOUS_SYSTEM,KG1C_CENTRAL_NERVOUS_SYSTEM,ACH-000126
SLR20_KIDNEY,SLR20_KIDNEY,ACH-000127
LN319_CENTRAL_NERVOUS_SYSTEM,LN319_CENTRAL_NERVOUS_SYSTEM,ACH-000128
NCIH1341_LUNG,NCIH1341_LUNG,ACH-000129
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000130
HS229T_FIBROBLAST,HS229T_FIBROBLAST,ACH-000131
HS229T_LUNG,HS229T_FIBROBLAST,ACH-000131
JHOS2_OVARY,JHOS2_OVARY,ACH-000132
HS729_SOFT_TISSUE,HS729_SOFT_TISSUE,ACH-000133
HS274T_BREAST,HS274T_FIBROBLAST,ACH-000134
HS274T_FIBROBLAST,HS274T_FIBROBLAST,ACH-000134
HS940T_SKIN,HS940T_FIBROBLAST,ACH-000135
HS940T_FIBROBLAST,HS940T_FIBROBLAST,ACH-000135
CHP126_AUTONOMIC_GANGLIA,CHP126_AUTONOMIC_GANGLIA,ACH-000136
8MGBA_CENTRAL_NERVOUS_SYSTEM,8MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000137
CFPAC1_PANCREAS,CFPAC1_PANCREAS,ACH-000138
PANC0327_PANCREAS,PANC0327_PANCREAS,ACH-000139
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000140
SNU308_BILIARY_TRACT,SNU308_BILIARY_TRACT,ACH-000141
CAL29_URINARY_TRACT,CAL29_URINARY_TRACT,ACH-000142
HCC2429_LUNG,HCC2429_LUNG,ACH-000143
RERFGC1B_STOMACH,RERFGC1B_STOMACH,ACH-000144
SKLMS1_SOFT_TISSUE,SKLMS1_SOFT_TISSUE,ACH-000145
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000146
T47D_BREAST,T47D_BREAST,ACH-000147
HS578T_BREAST,HS578T_BREAST,ACH-000148
SKNSH_AUTONOMIC_GANGLIA,SKNSH_AUTONOMIC_GANGLIA,ACH-000149
HCC2935_LUNG,HCC2935_LUNG,ACH-000150
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000151
M059K_CENTRAL_NERVOUS_SYSTEM,M059K_CENTRAL_NERVOUS_SYSTEM,ACH-000152
NCIH2052_PLEURA,NCIH2052_PLEURA,ACH-000153
HS888T_BONE,HS888T_FIBROBLAST,ACH-000154
HS888T_FIBROBLAST,HS888T_FIBROBLAST,ACH-000154
SW1990_PANCREAS,SW1990_PANCREAS,ACH-000155
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000156
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000157
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000158
OSRC2_KIDNEY,OSRC2_KIDNEY,ACH-000159
BT12_SOFT_TISSUE,BT12_SOFT_TISSUE,ACH-000160
CORL105_LUNG,CORL105_LUNG,ACH-000161
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000162
SW579_THYROID,SW579_THYROID,ACH-000163
PANC1_PANCREAS,PANC1_PANCREAS,ACH-000164
HS751T_FIBROBLAST,HS751T_FIBROBLAST,ACH-000165
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HS751T_FIBROBLAST,ACH-000165
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000166
KE97_STOMACH,KE97_STOMACH,ACH-000167
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KE97_STOMACH,ACH-000167
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000168
RD_SOFT_TISSUE,RD_SOFT_TISSUE,ACH-000169
PRECLH_PROSTATE,PRECLH_PROSTATE,ACH-000170
VMRCRCZ_KIDNEY,VMRCRCZ_KIDNEY,ACH-000171
TM87_SOFT_TISSUE,TM87_SOFT_TISSUE,ACH-000172
JHUEM3_ENDOMETRIUM,JHUEM3_ENDOMETRIUM,ACH-000173
CAL62_THYROID,CAL62_THYROID,ACH-000174
TE159T_FIBROBLAST,TE159T_FIBROBLAST,ACH-000175
TE159T_SOFT_TISSUE,TE159T_FIBROBLAST,ACH-000175
LOUNH91_LUNG,LOUNH91_LUNG,ACH-000176
NCIH660_PROSTATE,NCIH660_PROSTATE,ACH-000177
HS766T_PANCREAS,HS766T_PANCREAS,ACH-000178
NCIH1618_LUNG,NCIH1618_LUNG,ACH-000179
HS839T_FIBROBLAST,HS839T_FIBROBLAST,ACH-000180
HS839T_SKIN,HS839T_FIBROBLAST,ACH-000180
SCC9_UPPER_AERODIGESTIVE_TRACT,SCC9_UPPER_AERODIGESTIVE_TRACT,ACH-000181
SNU869_BILIARY_TRACT,SNU869_BILIARY_TRACT,ACH-000182
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000183
HS343T_BREAST,HS343T_FIBROBLAST,ACH-000184
HS343T_FIBROBLAST,HS343T_FIBROBLAST,ACH-000184
HS737T_FIBROBLAST,HS737T_FIBROBLAST,ACH-000185
HS737T_BONE,HS737T_FIBROBLAST,ACH-000185
NCIH2444_LUNG,NCIH2444_LUNG,ACH-000186
CORL311_LUNG,CORL311_LUNG,ACH-000187
SCC25_UPPER_AERODIGESTIVE_TRACT,SCC25_UPPER_AERODIGESTIVE_TRACT,ACH-000188
RCC10RGB_KIDNEY,RCC10RGB_KIDNEY,ACH-000189
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000190
BHT101_THYROID,BHT101_THYROID,ACH-000191
MFE280_ENDOMETRIUM,MFE280_ENDOMETRIUM,ACH-000192
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000193
HS934T_FIBROBLAST,HS934T_FIBROBLAST,ACH-000194
HS934T_SKIN,HS934T_FIBROBLAST,ACH-000194
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000195
HCC1599_BREAST,HCC1599_BREAST,ACH-000196
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000197
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000198
EOL1CELL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000198
HS255T_LARGE_INTESTINE,HS255T_FIBROBLAST,ACH-000199
HS255T_FIBROBLAST,HS255T_FIBROBLAST,ACH-000199
NMCG1_CENTRAL_NERVOUS_SYSTEM,NMCG1_CENTRAL_NERVOUS_SYSTEM,ACH-000200
A204_SOFT_TISSUE,A204_SOFT_TISSUE,ACH-000201
COLO320_LARGE_INTESTINE,COLO320_LARGE_INTESTINE,ACH-000202
NH6_AUTONOMIC_GANGLIA,NH6_AUTONOMIC_GANGLIA,ACH-000203
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000204
PK59_PANCREAS,PK59_PANCREAS,ACH-000205
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000206
DETROIT562_UPPER_AERODIGESTIVE_TRACT,DETROIT562_UPPER_AERODIGESTIVE_TRACT,ACH-000207
U178_CENTRAL_NERVOUS_SYSTEM,U178_CENTRAL_NERVOUS_SYSTEM,ACH-000208
SNU1079_BILIARY_TRACT,SNU1079_BILIARY_TRACT,ACH-000209
CADOES1_BONE,CADOES1_BONE,ACH-000210
DAOY_CENTRAL_NERVOUS_SYSTEM,DAOY_CENTRAL_NERVOUS_SYSTEM,ACH-000211
CAL120_BREAST,CAL120_BREAST,ACH-000212
HUPT4_PANCREAS,HUPT4_PANCREAS,ACH-000213
HS675T_LARGE_INTESTINE,HS675T_FIBROBLAST,ACH-000214
HS675T_FIBROBLAST,HS675T_FIBROBLAST,ACH-000214
LN382_CENTRAL_NERVOUS_SYSTEM,LN382_CENTRAL_NERVOUS_SYSTEM,ACH-000215
JHESOAD1_OESOPHAGUS,JHESOAD1_OESOPHAGUS,ACH-000216
JHH6_LIVER,JHH6_LIVER,ACH-000217
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000218
A375_SKIN,A375_SKIN,ACH-000219
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000220
SNU398_LIVER,SNU398_LIVER,ACH-000221
ASPC1_PANCREAS,ASPC1_PANCREAS,ACH-000222
HCC1937_BREAST,HCC1937_BREAST,ACH-000223
HS819T_BONE,HS819T_FIBROBLAST,ACH-000224
HS819T_FIBROBLAST,HS819T_FIBROBLAST,ACH-000224
ECC12_STOMACH,ECC12_STOMACH,ACH-000225
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000226
KPNYN_AUTONOMIC_GANGLIA,KPNYN_AUTONOMIC_GANGLIA,ACH-000227
BICR31_UPPER_AERODIGESTIVE_TRACT,BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228
HS822T_BONE,HS822T_FIBROBLAST,ACH-000229
HS822T_FIBROBLAST,HS822T_FIBROBLAST,ACH-000229
HS742T_BREAST,HS742T_FIBROBLAST,ACH-000230
HS742T_FIBROBLAST,HS742T_FIBROBLAST,ACH-000230
KALS1_CENTRAL_NERVOUS_SYSTEM,KALS1_CENTRAL_NERVOUS_SYSTEM,ACH-000231
U251MG_CENTRAL_NERVOUS_SYSTEM,U251MG_CENTRAL_NERVOUS_SYSTEM,ACH-000232
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000233
CAKI2_KIDNEY,CAKI2_KIDNEY,ACH-000234
PANC0403_PANCREAS,PANC0403_PANCREAS,ACH-000235
SW1417_LARGE_INTESTINE,SW1417_LARGE_INTESTINE,ACH-000236
JHOM1_OVARY,JHOM1_OVARY,ACH-000237
SCC4_UPPER_AERODIGESTIVE_TRACT,SCC4_UPPER_AERODIGESTIVE_TRACT,ACH-000238
HUG1N_STOMACH,HUG1N_STOMACH,ACH-000239
HS600T_SKIN,HS600T_FIBROBLAST,ACH-000240
HS600T_FIBROBLAST,HS600T_FIBROBLAST,ACH-000240
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000241
RT4_URINARY_TRACT,RT4_URINARY_TRACT,ACH-000242
DANG_PANCREAS,DANG_PANCREAS,ACH-000243
DKMG_CENTRAL_NERVOUS_SYSTEM,DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000245
SLR23_KIDNEY,SLR23_KIDNEY,ACH-000246
OCUM1_STOMACH,OCUM1_STOMACH,ACH-000247
AU565_BREAST,AU565_BREAST,ACH-000248
CL11_LARGE_INTESTINE,CL11_LARGE_INTESTINE,ACH-000249
KMRC20_KIDNEY,KMRC20_KIDNEY,ACH-000250
NCIH2887_LUNG,NCIH2887_LUNG,ACH-000251
LS1034_LARGE_INTESTINE,LS1034_LARGE_INTESTINE,ACH-000252
COLO201_COLO205,COLO201_LARGE_INTESTINE,ACH-000253
COLO201_LARGE_INTESTINE,COLO201_LARGE_INTESTINE,ACH-000253
SCC15_UPPER_AERODIGESTIVE_TRACT,SCC15_UPPER_AERODIGESTIVE_TRACT,ACH-000254
LMSU_STOMACH,LMSU_STOMACH,ACH-000255
COV318_OVARY,COV318_OVARY,ACH-000256
CORL279_LUNG,CORL279_LUNG,ACH-000257
DU4475_BREAST,DU4475_BREAST,ACH-000258
KELLY_AUTONOMIC_GANGLIA,KELLY_AUTONOMIC_GANGLIA,ACH-000259
SKNAS_AUTONOMIC_GANGLIA,SKNAS_AUTONOMIC_GANGLIA,ACH-000260
RERFLCAI_LUNG,RERFLCAI_LUNG,ACH-000261
UOK101_KIDNEY,UOK101_KIDNEY,ACH-000262
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000263
CALU6_LUNG,CALU6_LUNG,ACH-000264
KP4_PANCREAS,KP4_PANCREAS,ACH-000265
SNU213_PANCREAS,SNU213_PANCREAS,ACH-000266
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000267
SNU245_BILIARY_TRACT,SNU245_BILIARY_TRACT,ACH-000268
AM38_CENTRAL_NERVOUS_SYSTEM,AM38_CENTRAL_NERVOUS_SYSTEM,ACH-000269
HPAC_PANCREAS,HPAC_PANCREAS,ACH-000270
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000271
SLR24_KIDNEY,SLR24_KIDNEY,ACH-000272
SF539_CENTRAL_NERVOUS_SYSTEM,SF539_CENTRAL_NERVOUS_SYSTEM,ACH-000273
HS852T_SKIN,HS852T_SKIN,ACH-000274
HS834T_FIBROBLAST,HS834T_FIBROBLAST,ACH-000275
HS834T_SKIN,HS834T_FIBROBLAST,ACH-000275
HCC38_BREAST,HCC38_BREAST,ACH-000276
HCC1419_BREAST,HCC1419_BREAST,ACH-000277
COV362_OVARY,COV362_OVARY,ACH-000278
