entity:sample_id	fastq1	fastq2	star_bam_file	star_bam_index	star_chimeric_bam_file	star_transcriptome_bam	RNAseq_bai	RNAseq_bam	star_md_bam_file	bam_file	bam_index	transcriptome_bam	WES_bai	WES_bam
0h-A-RNA	gs://jkobject/JK_RNA_AMLproject/0h-A-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/0h-A-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/82c2b54a-8bf3-48de-8044-84ce78f1c664/call-star/star_out/0h-A-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/82c2b54a-8bf3-48de-8044-84ce78f1c664/call-star/star_out/0h-A-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/82c2b54a-8bf3-48de-8044-84ce78f1c664/call-star/star_out/0h-A-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/82c2b54a-8bf3-48de-8044-84ce78f1c664/call-star/star_out/0h-A-RNA.Aligned.toTranscriptome.out.bam								
0h-B-RNA	gs://jkobject/JK_RNA_AMLproject/0h-B-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/0h-B-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/484090e4-658e-4374-b2ba-c911df3187cc/call-star/attempt-2/star_out/0h-B-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/484090e4-658e-4374-b2ba-c911df3187cc/call-star/attempt-2/star_out/0h-B-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/484090e4-658e-4374-b2ba-c911df3187cc/call-star/attempt-2/star_out/0h-B-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/484090e4-658e-4374-b2ba-c911df3187cc/call-star/attempt-2/star_out/0h-B-RNA.Aligned.toTranscriptome.out.bam								
0h-C-RNA	gs://jkobject/JK_RNA_AMLproject/0h-C-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/0h-C-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/90f06178-7600-40b4-9705-31784034ffa4/call-star/star_out/0h-C-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/90f06178-7600-40b4-9705-31784034ffa4/call-star/star_out/0h-C-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/90f06178-7600-40b4-9705-31784034ffa4/call-star/star_out/0h-C-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/90f06178-7600-40b4-9705-31784034ffa4/call-star/star_out/0h-C-RNA.Aligned.toTranscriptome.out.bam								
1A-24h-RNA	gs://jkobject/JK_RNA_AMLproject/1A-24h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/1A-24h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/4c71445b-71e2-4ed7-8d74-aa6f52114451/call-star/star_out/1A-24h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/4c71445b-71e2-4ed7-8d74-aa6f52114451/call-star/star_out/1A-24h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/4c71445b-71e2-4ed7-8d74-aa6f52114451/call-star/star_out/1A-24h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/4c71445b-71e2-4ed7-8d74-aa6f52114451/call-star/star_out/1A-24h-RNA.Aligned.toTranscriptome.out.bam								
1A-8h-RNA	gs://jkobject/JK_RNA_AMLproject/1A-8h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/1A-8h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/200847a0-7859-46db-8fd6-bf03c6641188/call-star/star_out/1A-8h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/200847a0-7859-46db-8fd6-bf03c6641188/call-star/star_out/1A-8h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/200847a0-7859-46db-8fd6-bf03c6641188/call-star/star_out/1A-8h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/200847a0-7859-46db-8fd6-bf03c6641188/call-star/star_out/1A-8h-RNA.Aligned.toTranscriptome.out.bam								
1B-24h-RNA	gs://jkobject/JK_RNA_AMLproject/1B-24h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/1B-24h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/af819f51-3fc4-4697-a438-d80608176fe4/call-star/star_out/1B-24h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/af819f51-3fc4-4697-a438-d80608176fe4/call-star/star_out/1B-24h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/af819f51-3fc4-4697-a438-d80608176fe4/call-star/star_out/1B-24h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/af819f51-3fc4-4697-a438-d80608176fe4/call-star/star_out/1B-24h-RNA.Aligned.toTranscriptome.out.bam								
1B-8h-RNA	gs://jkobject/JK_RNA_AMLproject/1B-8h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/1B-8h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/f06353d4-5a76-4ee6-9408-ce9c54b955c1/call-star/star_out/1B-8h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/f06353d4-5a76-4ee6-9408-ce9c54b955c1/call-star/star_out/1B-8h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/f06353d4-5a76-4ee6-9408-ce9c54b955c1/call-star/star_out/1B-8h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/f06353d4-5a76-4ee6-9408-ce9c54b955c1/call-star/star_out/1B-8h-RNA.Aligned.toTranscriptome.out.bam								
1C-24h-RNA	gs://jkobject/JK_RNA_AMLproject/1C-24h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/1C-24h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/ed8c4735-64ac-4e2b-97a0-862566ed0909/call-star/star_out/1C-24h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/ed8c4735-64ac-4e2b-97a0-862566ed0909/call-star/star_out/1C-24h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/ed8c4735-64ac-4e2b-97a0-862566ed0909/call-star/star_out/1C-24h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/ed8c4735-64ac-4e2b-97a0-862566ed0909/call-star/star_out/1C-24h-RNA.Aligned.toTranscriptome.out.bam								
1C-8h-RNA	gs://jkobject/JK_RNA_AMLproject/1C-8h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/1C-8h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/32806e11-3f9d-4bb9-832c-74cd0a464705/call-star/star_out/1C-8h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/32806e11-3f9d-4bb9-832c-74cd0a464705/call-star/star_out/1C-8h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/32806e11-3f9d-4bb9-832c-74cd0a464705/call-star/star_out/1C-8h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/32806e11-3f9d-4bb9-832c-74cd0a464705/call-star/star_out/1C-8h-RNA.Aligned.toTranscriptome.out.bam								
2A-16h-RNA	gs://jkobject/JK_RNA_AMLproject/2A-16h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2A-16h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/cd710313-118b-4640-a356-5aff8d3b3801/call-star/star_out/2A-16h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/cd710313-118b-4640-a356-5aff8d3b3801/call-star/star_out/2A-16h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/cd710313-118b-4640-a356-5aff8d3b3801/call-star/star_out/2A-16h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/cd710313-118b-4640-a356-5aff8d3b3801/call-star/star_out/2A-16h-RNA.Aligned.toTranscriptome.out.bam								
2A-24h-RNA	gs://jkobject/JK_RNA_AMLproject/2A-24h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2A-24h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/1b3a4468-d3a8-41c3-be22-ed2267f05ca1/call-star/star_out/2A-24h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/1b3a4468-d3a8-41c3-be22-ed2267f05ca1/call-star/star_out/2A-24h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/1b3a4468-d3a8-41c3-be22-ed2267f05ca1/call-star/star_out/2A-24h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/1b3a4468-d3a8-41c3-be22-ed2267f05ca1/call-star/star_out/2A-24h-RNA.Aligned.toTranscriptome.out.bam								
2A-2h-RNA	gs://jkobject/JK_RNA_AMLproject/2A-2h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2A-2h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/5a22a328-a910-4847-adca-f8aff575d005/call-star/star_out/2A-2h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/5a22a328-a910-4847-adca-f8aff575d005/call-star/star_out/2A-2h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/5a22a328-a910-4847-adca-f8aff575d005/call-star/star_out/2A-2h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/5a22a328-a910-4847-adca-f8aff575d005/call-star/star_out/2A-2h-RNA.Aligned.toTranscriptome.out.bam								
2A-4h-RNA	gs://jkobject/JK_RNA_AMLproject/2A-4h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2A-4h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/ccb8981d-8939-4f0c-88db-66eca8b2e34c/call-star/attempt-2/star_out/2A-4h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/ccb8981d-8939-4f0c-88db-66eca8b2e34c/call-star/attempt-2/star_out/2A-4h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/ccb8981d-8939-4f0c-88db-66eca8b2e34c/call-star/attempt-2/star_out/2A-4h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/ccb8981d-8939-4f0c-88db-66eca8b2e34c/call-star/attempt-2/star_out/2A-4h-RNA.Aligned.toTranscriptome.out.bam								
2A-8h-RNA	gs://jkobject/JK_RNA_AMLproject/2A-8h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2A-8h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/81e8c3c1-3e13-4fb2-96d0-400a5ea29f91/call-star/star_out/2A-8h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/81e8c3c1-3e13-4fb2-96d0-400a5ea29f91/call-star/star_out/2A-8h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/81e8c3c1-3e13-4fb2-96d0-400a5ea29f91/call-star/star_out/2A-8h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/81e8c3c1-3e13-4fb2-96d0-400a5ea29f91/call-star/star_out/2A-8h-RNA.Aligned.toTranscriptome.out.bam								
2B-16h-RNA	gs://jkobject/JK_RNA_AMLproject/2B-16h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2B-16h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/4b842bf6-3088-4029-83a3-105ab1384055/call-star/star_out/2B-16h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/4b842bf6-3088-4029-83a3-105ab1384055/call-star/star_out/2B-16h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/4b842bf6-3088-4029-83a3-105ab1384055/call-star/star_out/2B-16h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/4b842bf6-3088-4029-83a3-105ab1384055/call-star/star_out/2B-16h-RNA.Aligned.toTranscriptome.out.bam								
2B-24h-RNA	gs://jkobject/JK_RNA_AMLproject/2B-24h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2B-24h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/2ecb0201-6a21-4043-9a23-679db3efb85d/call-star/attempt-3/star_out/2B-24h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/2ecb0201-6a21-4043-9a23-679db3efb85d/call-star/attempt-3/star_out/2B-24h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/2ecb0201-6a21-4043-9a23-679db3efb85d/call-star/attempt-3/star_out/2B-24h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/2ecb0201-6a21-4043-9a23-679db3efb85d/call-star/attempt-3/star_out/2B-24h-RNA.Aligned.toTranscriptome.out.bam								
2B-2h-RNA	gs://jkobject/JK_RNA_AMLproject/2B-2h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2B-2h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/6493153f-3a7c-4140-b4d9-8db07ee30bc4/call-star/star_out/2B-2h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/6493153f-3a7c-4140-b4d9-8db07ee30bc4/call-star/star_out/2B-2h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/6493153f-3a7c-4140-b4d9-8db07ee30bc4/call-star/star_out/2B-2h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/6493153f-3a7c-4140-b4d9-8db07ee30bc4/call-star/star_out/2B-2h-RNA.Aligned.toTranscriptome.out.bam								
2B-4h-RNA	gs://jkobject/JK_RNA_AMLproject/2B-4h-RNA_R1_001.fastq.gz	gs://jkobject/JK_RNA_AMLproject/2B-4h-RNA_R2_001.fastq.gz	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/b288ab35-748e-4ad4-83a4-2f89cfac07e0/call-star/star_out/2B-4h-RNA.Aligned.sortedByCoord.out.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/b288ab35-748e-4ad4-83a4-2f89cfac07e0/call-star/star_out/2B-4h-RNA.Aligned.sortedByCoord.out.bam.bai	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/b288ab35-748e-4ad4-83a4-2f89cfac07e0/call-star/star_out/2B-4h-RNA.Chimeric.out.sorted.bam	gs://fc-secure-639c94ba-2b0d-4960-92fc-9cd50046a968/b6b72f97-c1d1-44d3-9773-270e80e9eb91/star_workflow/b288ab35-748e-4ad4-83a4-2f89cfac07e0/call-star/star_out/2B-4h-RNA.Aligned.toTranscriptome.out.bam								
