,name,namespace,rootEntityType,methodName,methodVersion,methodNamespace,methodUri,sourceRepo,methodPath
0,common_variant_filter,breardon,sample,common_variant_filter,18,breardon,agora://breardon/common_variant_filter/18,agora,
1,aggregateMAFs_selectFields_filtered,broad-firecloud-ccle,sample_set,aggregateMAFs_selectFields_copy,1,gkugener,agora://gkugener/aggregateMAFs_selectFields_copy/1,agora,
2,aggregateMAFs_selectFields_unfiltered,broad-firecloud-ccle,sample_set,aggregateMAFs_selectFields_copy,1,gkugener,agora://gkugener/aggregateMAFs_selectFields_copy/1,agora,
3,CGA_WES_CCLE_AGILENT,broad-firecloud-ccle,sample,CGA_WES_CCLE,11,jkobject,agora://jkobject/CGA_WES_CCLE/11,agora,
4,CGA_WES_CCLE_AGILENT_MATCHED,broad-firecloud-ccle,pair,CGA_WES_CCLE,11,jkobject,agora://jkobject/CGA_WES_CCLE/11,agora,
5,CGA_WES_CCLE_ICE,broad-firecloud-ccle,sample,CGA_WES_CCLE,11,jkobject,agora://jkobject/CGA_WES_CCLE/11,agora,
6,cnn_variant_filter_agilent,broad-firecloud-ccle,sample,cnn-variant-filter,2,jkobject,agora://jkobject/cnn-variant-filter/2,agora,
7,cnn_variant_filter_ice,broad-firecloud-ccle,sample,cnn-variant-filter,2,jkobject,agora://jkobject/cnn-variant-filter/2,agora,
8,haplotypecaller-gvcf-gatk4_agilent,broad-firecloud-ccle,sample,haplotypecaller-gvcf-gatk4,13,gatk,agora://gatk/haplotypecaller-gvcf-gatk4/13,agora,
9,joint-discovery-gatk4-agilent,broad-firecloud-ccle,sample_set,joint-discovery-gatk4,1,jkobject,agora://jkobject/joint-discovery-gatk4/1,agora,
10,joint-discovery-gatk4-ice,broad-firecloud-ccle,sample_set,joint-discovery-gatk4,1,jkobject,agora://jkobject/joint-discovery-gatk4/1,agora,
11,Validate-BAM,broad-firecloud-ccle,sample_set,,1.0.1,,dockstore://github.com%2Fgatk-workflows%2Fseq-format-validation%2FValidate-BAM/1.0.1,dockstore,github.com/gatk-workflows/seq-format-validation/Validate-BAM
12,BuildBamIndex,firecloud-broad-ccle,sample,BuildBamIndex,1,firecloud-broad-ccle,agora://firecloud-broad-ccle/BuildBamIndex/1,agora,
13,pre-processing-hg38-gatk4,gatk,sample,pre-processing-hg38-gatk4,2,gatk,agora://gatk/pre-processing-hg38-gatk4/2,agora,
14,filterMAF_on_CGA_pipeline,gkugener,sample,filterMAF_on_CGA_pipeline,9,gkugener,agora://gkugener/filterMAF_on_CGA_pipeline/9,agora,
15,GK_AGILENT_CGA_Production_Analysis_Pipeline_Cell_Lines_copy,gkugener,sample,CGA_Production_Analysis_Pipeline_Cell_Lines_debugging_copy,1,gkugener,agora://gkugener/CGA_Production_Analysis_Pipeline_Cell_Lines_debugging_copy/1,agora,
16,aggregate_vcfs,jkobject,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
17,FixMateInformation-BAM,jkobject,sample,FixMateInformation-BAM,2,jkobject,agora://jkobject/FixMateInformation-BAM/2,agora,
18,deepvariant_wes,vanallenlab,sample,deepvariant_wes,1,vanallenlab,agora://vanallenlab/deepvariant_wes/1,agora,
