ccle_name,kinker_et_al,kj100,mcfarland_et_al
ONCODG1_OVARY,TRUE,FALSE,FALSE
HUH28_BILIARY_TRACT,TRUE,FALSE,FALSE
IM95_STOMACH,TRUE,FALSE,FALSE
TE14_OESOPHAGUS,TRUE,FALSE,FALSE
U118MG_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,FALSE
CAKI2_KIDNEY,TRUE,FALSE,FALSE
SU8686_PANCREAS,TRUE,FALSE,FALSE
SQ1_LUNG,TRUE,FALSE,TRUE
CAOV3_OVARY,TRUE,FALSE,TRUE
IALM_LUNG,TRUE,FALSE,TRUE
BT474_BREAST,TRUE,FALSE,TRUE
DKMG_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,TRUE
BT549_BREAST,TRUE,FALSE,TRUE
BICR6_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,TRUE
SH10TC_STOMACH,TRUE,FALSE,TRUE
UMUC1_URINARY_TRACT,TRUE,FALSE,TRUE
LS1034_LARGE_INTESTINE,TRUE,FALSE,TRUE
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,TRUE
NCIH226_LUNG,TRUE,FALSE,TRUE
LNCAPCLONEFGC_PROSTATE,TRUE,FALSE,TRUE
RCC10RGB_KIDNEY,TRUE,FALSE,TRUE
NCIH2347_LUNG,TRUE,FALSE,TRUE
TEN_ENDOMETRIUM,TRUE,FALSE,TRUE
RERFLCAD1_LUNG,TRUE,FALSE,TRUE
COLO680N_OESOPHAGUS,TRUE,FALSE,TRUE
SKMEL2_SKIN,TRUE,FALSE,TRUE
BICR31_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,TRUE
SKMEL3_SKIN,TRUE,FALSE,TRUE
RCM1_LARGE_INTESTINE,TRUE,FALSE,TRUE
COV434_OVARY,TRUE,FALSE,TRUE
SNU1079_BILIARY_TRACT,TRUE,FALSE,TRUE
SCC47_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
JHU029_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
SCC25_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
SCC9_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
JHU011_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
93VU_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
SCC90_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
JHU006_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
647V_URINARY_TRACT,FALSE,TRUE,FALSE
A2780_OVARY,FALSE,TRUE,FALSE
AGS_STOMACH,FALSE,TRUE,FALSE
BECKER_CENTRAL_NERVOUS_SYSTEM,FALSE,TRUE,FALSE
BHT101_THYROID,FALSE,TRUE,FALSE
CADOES1_BONE,FALSE,TRUE,FALSE
CAKI1_KIDNEY,FALSE,TRUE,FALSE
CAL12T_LUNG,FALSE,TRUE,FALSE
CAL33_UPPER_AERODIGESTIVE_TRACT,FALSE,TRUE,FALSE
CAL54_KIDNEY,FALSE,TRUE,FALSE
CAL62_THYROID,FALSE,TRUE,FALSE
COLO668_LUNG,FALSE,TRUE,FALSE
DMS273_LUNG,FALSE,TRUE,FALSE
EFO27_OVARY,FALSE,TRUE,FALSE
ES2_OVARY,FALSE,TRUE,FALSE
G361_SKIN,FALSE,TRUE,FALSE
G402_SOFT_TISSUE,FALSE,TRUE,FALSE
HA1E_KIDNEY,FALSE,TRUE,FALSE
HCC515_LUNG,FALSE,TRUE,FALSE
HCT116_LARGE_INTESTINE,FALSE,TRUE,TRUE
HEC1B_ENDOMETRIUM,FALSE,TRUE,FALSE
HEYA8_OVARY,FALSE,TRUE,FALSE
HGC27_STOMACH,FALSE,TRUE,FALSE
HLF_LIVER,FALSE,TRUE,FALSE
HS294T_SKIN,FALSE,TRUE,TRUE
HT29_LARGE_INTESTINE,FALSE,TRUE,TRUE
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,FALSE,TRUE,FALSE
KELLY_AUTONOMIC_GANGLIA,FALSE,TRUE,FALSE
KP4_PANCREAS,FALSE,TRUE,FALSE
KU1919_URINARY_TRACT,FALSE,TRUE,TRUE
KYSE70_OESOPHAGUS,FALSE,TRUE,FALSE
L33_PANCREAS,FALSE,TRUE,FALSE
LOVO_LARGE_INTESTINE,FALSE,TRUE,TRUE
LS513_LARGE_INTESTINE,FALSE,TRUE,FALSE
MIAPACA2_PANCREAS,FALSE,TRUE,FALSE
NCIH520_LUNG,FALSE,TRUE,FALSE
OV7_OVARY,FALSE,TRUE,FALSE
PATU8902_PANCREAS,FALSE,TRUE,FALSE
PECAPJ15_UPPER_AERODIGESTIVE_TRACT,FALSE,TRUE,FALSE
QGP1_PANCREAS,FALSE,TRUE,FALSE
RKO_LARGE_INTESTINE,FALSE,TRUE,FALSE
RL952_ENDOMETRIUM,FALSE,TRUE,FALSE
RMGI_OVARY,FALSE,TRUE,FALSE
SF295_CENTRAL_NERVOUS_SYSTEM,FALSE,TRUE,FALSE
SIMA_AUTONOMIC_GANGLIA,FALSE,TRUE,FALSE
SNU1076_UPPER_AERODIGESTIVE_TRACT,FALSE,TRUE,FALSE
SNU61_LARGE_INTESTINE,FALSE,TRUE,FALSE
SNU685_ENDOMETRIUM,FALSE,TRUE,FALSE
SNU886_LIVER,FALSE,TRUE,FALSE
SW1353_BONE,FALSE,TRUE,FALSE
SW1573_LUNG,FALSE,TRUE,FALSE
SW1710_URINARY_TRACT,FALSE,TRUE,FALSE
SW1783_CENTRAL_NERVOUS_SYSTEM,FALSE,TRUE,FALSE
T24_URINARY_TRACT,FALSE,TRUE,FALSE
TE11_OESOPHAGUS,FALSE,TRUE,FALSE
TT2609C02_THYROID,FALSE,TRUE,FALSE
UO31_KIDNEY,FALSE,TRUE,FALSE
VMRCRCW_KIDNEY,FALSE,TRUE,FALSE
YD10B_UPPER_AERODIGESTIVE_TRACT,FALSE,TRUE,FALSE
YD15_SALIVARY_GLAND,FALSE,TRUE,FALSE
253JBV_URINARY_TRACT,FALSE,FALSE,TRUE
5637_URINARY_TRACT,FALSE,FALSE,TRUE
639V_URINARY_TRACT,FALSE,FALSE,TRUE
786O_KIDNEY,FALSE,FALSE,TRUE
8505C_THYROID,FALSE,FALSE,TRUE
A549_LUNG,FALSE,FALSE,TRUE
BXPC3_PANCREAS,FALSE,FALSE,TRUE
CAL29_URINARY_TRACT,FALSE,FALSE,TRUE
COLO829_SKIN,FALSE,FALSE,TRUE
CORL23_LUNG,FALSE,FALSE,TRUE
CW2_LARGE_INTESTINE,FALSE,FALSE,TRUE
DV90_LUNG,FALSE,FALSE,TRUE
FTC238_THYROID,FALSE,FALSE,TRUE
GAMG_CENTRAL_NERVOUS_SYSTEM,FALSE,FALSE,TRUE
GB1_CENTRAL_NERVOUS_SYSTEM,FALSE,FALSE,TRUE
GI1_CENTRAL_NERVOUS_SYSTEM,FALSE,FALSE,TRUE
H4_CENTRAL_NERVOUS_SYSTEM,FALSE,FALSE,TRUE
HCC1143_BREAST,FALSE,FALSE,TRUE
HCC1806_BREAST,FALSE,FALSE,TRUE
HCC827_LUNG,FALSE,FALSE,TRUE
HCT15_LARGE_INTESTINE,FALSE,FALSE,TRUE
HEC1A_ENDOMETRIUM,FALSE,FALSE,TRUE
HPAC_PANCREAS,FALSE,FALSE,TRUE
IGROV1_OVARY,FALSE,FALSE,TRUE
KMBC2_URINARY_TRACT,FALSE,FALSE,TRUE
KP2_PANCREAS,FALSE,FALSE,TRUE
KYSE510_OESOPHAGUS,FALSE,FALSE,TRUE
LOXIMVI_SKIN,FALSE,FALSE,TRUE
LU99_LUNG,FALSE,FALSE,TRUE
MCAS_OVARY,FALSE,FALSE,TRUE
MDAMB435S_SKIN,FALSE,FALSE,TRUE
MESSA_SOFT_TISSUE,FALSE,FALSE,TRUE
NCIH1339_LUNG,FALSE,FALSE,TRUE
NCIH1355_LUNG,FALSE,FALSE,TRUE
NCIH1437_LUNG,FALSE,FALSE,TRUE
NCIH1650_LUNG,FALSE,FALSE,TRUE
NCIH1793_LUNG,FALSE,FALSE,TRUE
NCIH1975_LUNG,FALSE,FALSE,TRUE
NCIH2009_LUNG,FALSE,FALSE,TRUE
NCIH322_LUNG,FALSE,FALSE,TRUE
NCIN87_STOMACH,FALSE,FALSE,TRUE
NIHOVCAR3_OVARY,FALSE,FALSE,TRUE
NMCG1_CENTRAL_NERVOUS_SYSTEM,FALSE,FALSE,TRUE
ONS76_CENTRAL_NERVOUS_SYSTEM,FALSE,FALSE,TRUE
OVISE_OVARY,FALSE,FALSE,TRUE
PATU8988T_PANCREAS,FALSE,FALSE,TRUE
RERFLCAD2_LUNG,FALSE,FALSE,TRUE
RMUGS_OVARY,FALSE,FALSE,TRUE
S117_THYROID,FALSE,FALSE,TRUE
SKNFI_AUTONOMIC_GANGLIA,FALSE,FALSE,TRUE
SKNSH_AUTONOMIC_GANGLIA,FALSE,FALSE,TRUE
SNB75_CENTRAL_NERVOUS_SYSTEM,FALSE,FALSE,TRUE
SNU1105_CENTRAL_NERVOUS_SYSTEM,FALSE,FALSE,TRUE
SNU410_PANCREAS,FALSE,FALSE,TRUE
SNU761_LIVER,FALSE,FALSE,TRUE
SNU8_OVARY,FALSE,FALSE,TRUE
SNU840_OVARY,FALSE,FALSE,TRUE
SNUC2A_LARGE_INTESTINE,FALSE,FALSE,TRUE
SUIT2_PANCREAS,FALSE,FALSE,TRUE
SW48_LARGE_INTESTINE,FALSE,FALSE,TRUE
SW948_LARGE_INTESTINE,FALSE,FALSE,TRUE
T3M4_PANCREAS,FALSE,FALSE,TRUE
TCCPAN2_PANCREAS,FALSE,FALSE,TRUE
TE8_OESOPHAGUS,FALSE,FALSE,TRUE
WM1799_SKIN,FALSE,FALSE,TRUE
WM2664_SKIN,FALSE,FALSE,TRUE
