ccle_name,kinker_et_al,kj100,mcfarland_et_al
YD38_UPPER_AERODIGESTIVE_TRACT,TRUE,TRUE,FALSE
NCIH1299_LUNG,TRUE,TRUE,FALSE
IGR37_SKIN,TRUE,TRUE,FALSE
BFTC909_KIDNEY,TRUE,TRUE,FALSE
NCIH460_LUNG,TRUE,TRUE,FALSE
IGR1_SKIN,TRUE,TRUE,FALSE
PANC1_PANCREAS,TRUE,FALSE,FALSE
VMCUB1_URINARY_TRACT,TRUE,TRUE,FALSE
JHOC5_OVARY,TRUE,TRUE,FALSE
42MGBA_CENTRAL_NERVOUS_SYSTEM,TRUE,TRUE,FALSE
DAOY_CENTRAL_NERVOUS_SYSTEM,TRUE,TRUE,FALSE
SNU1077_ENDOMETRIUM,TRUE,TRUE,FALSE
HT1080_SOFT_TISSUE,TRUE,TRUE,FALSE
LI7_LIVER,TRUE,TRUE,FALSE
A375_SKIN,TRUE,TRUE,FALSE
SBC5_LUNG,TRUE,TRUE,FALSE
FTC133_THYROID,TRUE,TRUE,FALSE
OVK18_OVARY,TRUE,TRUE,FALSE
ACCMESO1_PLEURA,TRUE,TRUE,FALSE
HMC18_BREAST,TRUE,TRUE,FALSE
TOV112D_OVARY,TRUE,TRUE,FALSE
SJSA1_BONE,TRUE,TRUE,FALSE
JHH6_LIVER,TRUE,TRUE,FALSE
A2058_SKIN,TRUE,TRUE,FALSE
TCCSUP_URINARY_TRACT,TRUE,FALSE,FALSE
TOV21G_OVARY,TRUE,FALSE,FALSE
VMRCRCZ_KIDNEY,TRUE,FALSE,FALSE
PK59_PANCREAS,TRUE,FALSE,FALSE
HUH6_LIVER,TRUE,FALSE,FALSE
MSTO211H_PLEURA,TRUE,FALSE,FALSE
HS852T_SKIN,TRUE,FALSE,FALSE
SKMEL30_SKIN,TRUE,FALSE,FALSE
T47D_BREAST,TRUE,FALSE,FALSE
CALU6_LUNG,TRUE,TRUE,FALSE
NCIH522_LUNG,TRUE,FALSE,FALSE
DANG_PANCREAS,TRUE,FALSE,FALSE
LMSU_STOMACH,TRUE,FALSE,FALSE
SNUC4_LARGE_INTESTINE,TRUE,FALSE,FALSE
RVH421_SKIN,TRUE,FALSE,FALSE
OVSAHO_OVARY,TRUE,FALSE,FALSE
MFE280_ENDOMETRIUM,TRUE,FALSE,FALSE
HS939T_SKIN,TRUE,FALSE,FALSE
GOS3_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,FALSE
SNU738_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,FALSE
PC3_PROSTATE,TRUE,TRUE,FALSE
PATU8988S_PANCREAS,TRUE,FALSE,FALSE
JHOS2_OVARY,TRUE,FALSE,FALSE
OVTOKO_OVARY,TRUE,FALSE,FALSE
TE1_OESOPHAGUS,TRUE,FALSE,FALSE
NCIH2087_LUNG,TRUE,FALSE,FALSE
HEC59_ENDOMETRIUM,TRUE,FALSE,FALSE
EFM192A_BREAST,TRUE,FALSE,FALSE
HS729_SOFT_TISSUE,TRUE,FALSE,FALSE
SNU423_LIVER,TRUE,FALSE,FALSE
KPL1_BREAST,TRUE,FALSE,FALSE
NCIH727_LUNG,TRUE,FALSE,FALSE
NCIH358_LUNG,TRUE,FALSE,FALSE
COLO792_SKIN,TRUE,FALSE,FALSE
NCIH2077_LUNG,TRUE,FALSE,FALSE
KYSE520_OESOPHAGUS,TRUE,FALSE,FALSE
KMRC3_KIDNEY,TRUE,FALSE,FALSE
MKN7_STOMACH,TRUE,FALSE,FALSE
NCIH1944_LUNG,TRUE,FALSE,FALSE
HCC1419_BREAST,TRUE,FALSE,FALSE
NCIH1568_LUNG,TRUE,FALSE,FALSE
NCIH1048_LUNG,TRUE,FALSE,FALSE
TE6_OESOPHAGUS,TRUE,FALSE,FALSE
ZR751_BREAST,TRUE,FALSE,FALSE
PANC0203_PANCREAS,TRUE,FALSE,FALSE
SW1990_PANCREAS,TRUE,FALSE,FALSE
RD_SOFT_TISSUE,TRUE,FALSE,FALSE
CL34_LARGE_INTESTINE,TRUE,FALSE,FALSE
NCIH1792_LUNG,TRUE,FALSE,FALSE
PK45H_PANCREAS,TRUE,FALSE,FALSE
LS180_LARGE_INTESTINE,TRUE,TRUE,FALSE
RERFLCAI_LUNG,TRUE,TRUE,FALSE
CAMA1_BREAST,TRUE,TRUE,FALSE
SNU449_LIVER,TRUE,TRUE,FALSE
A204_SOFT_TISSUE,TRUE,FALSE,FALSE
HUCCT1_BILIARY_TRACT,TRUE,TRUE,FALSE
MKN45_STOMACH,TRUE,TRUE,FALSE
SNU1196_BILIARY_TRACT,TRUE,TRUE,FALSE
HEP3B217_LIVER,TRUE,TRUE,FALSE
HOS_BONE,TRUE,TRUE,FALSE
SKMES1_LUNG,TRUE,FALSE,FALSE
EBC1_LUNG,TRUE,TRUE,FALSE
NCIH292_LUNG,TRUE,TRUE,FALSE
OUMS23_LARGE_INTESTINE,TRUE,TRUE,FALSE
HEC151_ENDOMETRIUM,TRUE,TRUE,FALSE
MDAMB436_BREAST,TRUE,TRUE,FALSE
ABC1_LUNG,TRUE,TRUE,FALSE
NCIH1373_LUNG,TRUE,TRUE,FALSE
TE9_OESOPHAGUS,TRUE,TRUE,FALSE
HCC56_LARGE_INTESTINE,TRUE,TRUE,FALSE
HT55_LARGE_INTESTINE,TRUE,TRUE,FALSE
RT4_URINARY_TRACT,TRUE,TRUE,FALSE
SKES1_BONE,TRUE,TRUE,FALSE
NCIH1435_LUNG,TRUE,TRUE,FALSE
CCK81_LARGE_INTESTINE,TRUE,FALSE,FALSE
NCIH2110_LUNG,TRUE,FALSE,FALSE
NCIH650_LUNG,TRUE,FALSE,FALSE
EFE184_ENDOMETRIUM,TRUE,FALSE,FALSE
HUPT3_PANCREAS,TRUE,FALSE,FALSE
MDAMB361_BREAST,TRUE,FALSE,FALSE
BCPAP_THYROID,TRUE,FALSE,FALSE
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
EKVX_LUNG,TRUE,FALSE,FALSE
2313287_STOMACH,TRUE,FALSE,FALSE
BICR56_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
NCIH2170_LUNG,TRUE,FALSE,FALSE
DETROIT562_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
SW1088_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,FALSE
BHY_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
CAS1_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,FALSE
HCC1428_BREAST,TRUE,FALSE,FALSE
HDQP1_BREAST,TRUE,FALSE,FALSE
OSRC2_KIDNEY,TRUE,FALSE,FALSE
RERFLCKJ_LUNG,TRUE,FALSE,FALSE
HUPT4_PANCREAS,TRUE,FALSE,FALSE
NCIH2126_LUNG,TRUE,FALSE,FALSE
SW579_THYROID,TRUE,FALSE,FALSE
C32_SKIN,TRUE,FALSE,FALSE
NCIH446_LUNG,TRUE,FALSE,FALSE
HEC251_ENDOMETRIUM,TRUE,FALSE,FALSE
MFE319_ENDOMETRIUM,TRUE,FALSE,FALSE
SKNAS_AUTONOMIC_GANGLIA,TRUE,FALSE,FALSE
NCIH2452_PLEURA,TRUE,FALSE,FALSE
COLO741_SKIN,TRUE,FALSE,FALSE
WM88_SKIN,TRUE,FALSE,FALSE
JHH7_LIVER,TRUE,FALSE,FALSE
KNS42_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,FALSE
MCF7_BREAST,TRUE,FALSE,FALSE
HT1197_URINARY_TRACT,TRUE,FALSE,FALSE
SNU899_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
HCC38_BREAST,TRUE,FALSE,FALSE
HEC108_ENDOMETRIUM,TRUE,FALSE,FALSE
HT1376_URINARY_TRACT,TRUE,FALSE,FALSE
SNU308_BILIARY_TRACT,TRUE,FALSE,FALSE
TYKNU_OVARY,TRUE,FALSE,FALSE
SW1271_LUNG,TRUE,FALSE,FALSE
TM31_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,FALSE
NCIH747_LARGE_INTESTINE,TRUE,FALSE,FALSE
KPNSI9S_AUTONOMIC_GANGLIA,TRUE,FALSE,FALSE
8305C_THYROID,TRUE,FALSE,FALSE
NCIH2228_LUNG,TRUE,FALSE,FALSE
TE10_OESOPHAGUS,TRUE,FALSE,FALSE
ASPC1_PANCREAS,TRUE,FALSE,FALSE
HCC366_LUNG,TRUE,FALSE,FALSE
BICR16_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
HEC6_ENDOMETRIUM,TRUE,FALSE,FALSE
KALS1_CENTRAL_NERVOUS_SYSTEM,TRUE,FALSE,FALSE
NCIH2444_LUNG,TRUE,FALSE,FALSE
SNU46_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
OAW28_OVARY,TRUE,FALSE,FALSE
SNU1214_UPPER_AERODIGESTIVE_TRACT,TRUE,FALSE,FALSE
NCIH2073_LUNG,TRUE,FALSE,FALSE
SKMEL5_SKIN,TRUE,FALSE,FALSE
OVCAR4_OVARY,TRUE,FALSE,FALSE
UACC257_SKIN,TRUE,FALSE,FALSE
