ensembl_gene_id,hgnc_id
ENSG00000223972,X11L1
ENSG00000227232,SH7P
ENSG00000278267,R6859-1
ENSG00000243485,R1302-2HG
ENSG00000284332,R1302-2
ENSG00000237613,M138A
ENSG00000268020,4G4P
ENSG00000240361,4G11P
ENSG00000186092,4F5
ENSG00000238009,627309.1
ENSG00000239945,627309.3
ENSG00000233750,CP27
ENSG00000268903,627309.6
ENSG00000269981,627309.7
ENSG00000239906,627309.2
ENSG00000241860,627309.5
ENSG00000222623,U6-1100P
ENSG00000241599,627309.4
ENSG00000279928,538757.2
ENSG00000279457,538757.1
ENSG00000273874,R6859-2
ENSG00000228463,006222.1
ENSG00000236679,L23AP24
ENSG00000236601,732372.1
ENSG00000237094,732372.2
ENSG00000269732,P1LP7
ENSG00000284733,4F29
ENSG00000233653,CP7
ENSG00000250575,732372.3
ENSG00000278757,00026
ENSG00000230021,669831.3
ENSG00000235146,114498.1
ENSG00000225972,ND1P23
ENSG00000225630,ND2P28
ENSG00000237973,CO1P12
ENSG00000278791,R6723
ENSG00000229344,CO2P12
ENSG00000240409,ATP8P1
ENSG00000248527,ATP6P1
ENSG00000198744,CO3P12
ENSG00000268663,P1LP6
ENSG00000284662,4F16
ENSG00000229376,CP3
ENSG00000228327,669831.1
ENSG00000223181,U6-1199P
ENSG00000229905,669831.2
ENSG00000237491,669831.5
ENSG00000285268,669831.7
ENSG00000230092,669831.4
ENSG00000177757,M87B
ENSG00000228794,NC01128
ENSG00000225880,NC00115
ENSG00000230368,M41C
ENSG00000234711,BB8P11
ENSG00000283040,669831.6
ENSG00000272438,645608.6
ENSG00000230699,645608.2
ENSG00000241180,645608.4
ENSG00000223764,NC02593
ENSG00000187634,MD11
ENSG00000188976,C2L
ENSG00000187961,HL17
ENSG00000187583,EKHN1
ENSG00000187642,RM1
ENSG00000272512,645608.7
ENSG00000188290,S4
ENSG00000187608,G15
ENSG00000231702,645608.3
ENSG00000224969,645608.1
ENSG00000188157,RN
ENSG00000242590,645608.5
ENSG00000217801,390719.1
ENSG00000273443,645608.8
ENSG00000237330,F223
ENSG00000131591,orf159
ENSG00000285812,390719.3
ENSG00000223823,NC01342
ENSG00000207730,R200B
ENSG00000207607,R200A
ENSG00000198976,R429
ENSG00000272141,390719.2
ENSG00000205231,LL10-AS1
ENSG00000162571,LL10
ENSG00000186891,FRSF18
ENSG00000186827,FRSF4
ENSG00000078808,F4
ENSG00000176022,GALT6
ENSG00000184163,QTNF12
ENSG00000260179,162741.1
ENSG00000160087,E2J2
ENSG00000230415,NC01786
ENSG00000162572,NN1D
ENSG00000131584,AP3
ENSG00000278073,R6726
ENSG00000169972,SL1
ENSG00000127054,TS11
ENSG00000283712,R6727
ENSG00000240731,139287.1
ENSG00000224051,TP
ENSG00000169962,S1R3
ENSG00000107404,L1
ENSG00000284372,R6808
ENSG00000162576,RA8
ENSG00000175756,RKAIP1
ENSG00000223663,UFB4P8
ENSG00000221978,NL2
ENSG00000224870,391244.1
ENSG00000242485,PL20
ENSG00000264293,7SL657P
ENSG00000272455,391244.3
ENSG00000235098,KRD65
ENSG00000225905,391244.2
ENSG00000205116,EM88B
ENSG00000225285,NC01770
ENSG00000179403,A1
ENSG00000215915,AD3C
ENSG00000160072,AD3B
ENSG00000284740,645728.2
ENSG00000197785,AD3A
ENSG00000205090,EM240
ENSG00000160075,U72
ENSG00000215014,645728.1
ENSG00000274481,691432.3
ENSG00000228594,DC10
ENSG00000272106,691432.2
ENSG00000197530,B2
ENSG00000189409,P23B
ENSG00000248333,K11B
ENSG00000272004,704657.1
ENSG00000189339,C35E2B
ENSG00000269737,691432.1
ENSG00000215914,P23A
ENSG00000008128,K11A
ENSG00000268575,031282.2
ENSG00000227775,031282.1
ENSG00000215790,C35E2A
ENSG00000008130,DK
ENSG00000078369,B1
ENSG00000231050,109917.1
ENSG00000169885,LML6
ENSG00000178821,EM52
ENSG00000142609,AP74
ENSG00000233542,391845.2
ENSG00000187730,BRD
ENSG00000226969,391845.1
ENSG00000067606,KCZ
ENSG00000271806,590822.2
ENSG00000182873,KCZ-AS1
ENSG00000162585,AP20
ENSG00000234396,590822.1
ENSG00000157933,I
ENSG00000116151,RN1
ENSG00000272161,589739.1
ENSG00000269896,513477.1
ENSG00000272420,513477.2
ENSG00000157916,R1
ENSG00000157911,X10
ENSG00000149527,CH2
ENSG00000224387,139246.1
ENSG00000229393,139246.4
ENSG00000157881,NK4
ENSG00000197921,S5
ENSG00000272449,139246.5
ENSG00000238164,FRSF14-AS1
ENSG00000157873,FRSF14
ENSG00000225931,139246.2
ENSG00000228037,139246.3
ENSG00000157870,XL2B
ENSG00000142606,EL1
ENSG00000237058,831784.1
ENSG00000215912,C34
ENSG00000285945,242022.2
ENSG00000283259,242022.1
ENSG00000233234,592464.2
ENSG00000231630,592464.1
ENSG00000284745,589702.1
ENSG00000169717,TRT2
ENSG00000177133,NC00982
ENSG00000142611,DM16
ENSG00000283572,R4251
ENSG00000226286,008733.1
ENSG00000279839,512383.1
ENSG00000272235,590438.1
ENSG00000130762,HGEF16
ENSG00000272088,512413.1
ENSG00000162591,GF6
ENSG00000207776,R551A
ENSG00000238260,513320.1
ENSG00000158109,RG1L
ENSG00000116213,AP73
ENSG00000078900,73
ENSG00000227589,136528.1
ENSG00000235131,136528.2
ENSG00000227372,73-AS1
ENSG00000276189,02197
ENSG00000162592,DC27
ENSG00000235169,IM1
ENSG00000130764,RC47
ENSG00000266075,7SL574P
ENSG00000272153,365330.1
ENSG00000116198,P104
ENSG00000169598,FB
ENSG00000198912,orf174
ENSG00000236423,NC01134
ENSG00000233304,NC01346
ENSG00000226374,NC01345
ENSG00000284668,805961.1
ENSG00000284703,805961.2
ENSG00000229280,F1DP6
ENSG00000235054,NC01777
ENSG00000284694,355602.1
ENSG00000227169,8747.1
ENSG00000232596,NC01646
ENSG00000196581,AP1
ENSG00000284739,005132.2
ENSG00000284674,005132.1
ENSG00000231510,691497.1
ENSG00000284616,139823.1
ENSG00000284692,8259.3
ENSG00000284666,8259.2
ENSG00000260972,8259.1
ENSG00000283356,7988.1
ENSG00000236948,365255.1
ENSG00000264341,R4417
ENSG00000264101,R4689
ENSG00000131697,HP4
ENSG00000069424,NAB2
ENSG00000116254,D5
ENSG00000285629,031847.2
ENSG00000116251,L22
ENSG00000226944,031847.1
ENSG00000158286,F207
ENSG00000116237,MT
ENSG00000225077,NC00337
ENSG00000173673,S3
ENSG00000158292,R153
ENSG00000097021,OT7
ENSG00000271746,031848.2
ENSG00000069812,S2
ENSG00000187017,PN
ENSG00000265392,R4252
ENSG00000231868,031848.1
ENSG00000215788,FRSF25
ENSG00000171680,EKHG5
ENSG00000162408,L9
ENSG00000253022,U6-731P
ENSG00000229519,591866.1
ENSG00000173662,S1R1
ENSG00000204859,TB48
ENSG00000162413,HL21
ENSG00000116273,F13
ENSG00000041988,AP3
ENSG00000007923,AJC11
ENSG00000228750,NC01672
ENSG00000284744,591163.1
ENSG00000237436,MTA1-DT
ENSG00000171735,MTA1
ENSG00000227950,590128.1
ENSG00000237365,512330.1
ENSG00000207056,U1-8P
ENSG00000237402,MTA1-IT1
ENSG00000237728,7987.1
ENSG00000225126,365194.1
ENSG00000270171,359881.3
ENSG00000270035,359881.2
ENSG00000269978,359881.1
ENSG00000049245,MP3
ENSG00000269925,8884.2
ENSG00000049246,R3
ENSG00000236266,8884.1
ENSG00000049247,S2
ENSG00000049249,FRSF9
ENSG00000270330,009183.1
ENSG00000116288,RK7
ENSG00000200344,00019
ENSG00000284747,034417.4
ENSG00000284716,034417.3
ENSG00000116285,RFI1
ENSG00000238290,034417.2
ENSG00000232848,034417.1
ENSG00000229305,358876.1
ENSG00000227634,NC01714
