Stripped Cell Line Name,Known Pairs
HT144SKINFV1,HT144; HT144SKINFV2; HT144SKINFV3
HT144SKINFV2,HT144SKINFV1; HT144; HT144SKINFV3
HT144SKINFV3,HT144SKINFV1; HT144SKINFV2; HT144
PSS004,
PSS008,
PSS089,
PSS154,
RPE1SS111,RPE1; RPE1SS48; RPE1SS77; RPE1SS6; RPE1SS119; RPE1SS51
RPE1SS119,RPE1; RPE1SS48; RPE1SS77; RPE1SS6; RPE1SS111; RPE1SS51
RPE1SS48,RPE1; RPE1SS77; RPE1SS6; RPE1SS119; RPE1SS111; RPE1SS51
RPE1SS51,RPE1; RPE1SS48; RPE1SS77; RPE1SS6; RPE1SS119; RPE1SS111
RPE1SS6,RPE1; RPE1SS48; RPE1SS77; RPE1SS119; RPE1SS111; RPE1SS51
RPE1SS77,RPE1; RPE1SS48; RPE1SS6; RPE1SS119; RPE1SS111; RPE1SS51
RVH421SKINFV1,RVH421
PACADD161,
PACADD188,
SNU869,
TFK1,
ICC15,
9505BIK,
C125PM,
C99,
CCLFUPGI0005T,
CL14,
ECC2,
HKGZCC,
ICC10,ICC11; ICC106; ICC108
ICC137,
ICC2,
ICC3,
ICC8,
KKU213,
KMCH1,
LU135,
OE19,
PACADD135,
PACADD159,
PACADD183,
RBE,SSP25
SG231,
SNU1544,
SNU5,
STC1,
SW626,
UACC62SKINCJ1,UACC62
UHO1,
UPCISCC116,
BPH1,
CCLFMELM0001T,
CCLFMELM0002T,
CCLFMELM0003T,
CCLFMELM0005T,
CCLFNEURO0006T,
CCLFNEURO0007T,
CCLFNEURO0008T,
CCLFNEURO0010T,
CCLFNEURO0011T,
CCLFNEURO0014T,
CCLFNEURO0017T,
CCLFOVPA0001T,
CCLFPEDS0014T1,
CCLFPEDS0019T,
NP8,
OPM2,OPM1
921,
C4I,C4II
EMTOKA,
KG1C,
SKMEL1,
A388,
BCP1,
BOKU,
BONNA12,
C4II,C4I
CI,
CII,
EHEB,
HAC2,
HCA1,
HCS2,
HELA,HELASF
HG3,
HT3,
KON,
MB1,
MEL270,OMM22; OMM23; OMM25; OMM26
MEL285,
MEL290,
MP46,
NP2,
NP5,
OMM1,
ONDA9,ONDA9R
PEO1,PEO4; PEO6
PEO16,
RMGI,
SKGI,
SKN,
SKRC20,
SUM102PT,
SUM1315MO2,
SUM185PE,
SUM44PE,
UMUC5,
VP229,VP267
WPE1NA22,
AN3CA,
ASH3,
H157,
HCSC1,
HEC1,
HEC116,
HEMCSS,
ICC106,ICC11; ICC10; ICC108
ICC4,
ICC5,
IHH4,
L428,
MDAMB330,
MP65,
MUTZ2,
MUTZ8,
NP3,
OCIC4P,
OCILY18,
OCIP8P,
ONDA7,
ONDA8,
OSC19,
P4E6,
RL,
RO82W1,
SCC15,
SCLC22H,SCLC21H
SHMAC4,
SHMAC5,
SKGII,SKGIIB
SKRC31,
SUM190PT,
SUM225CWN,
SW156,
SW780,
TGBC52TKB,TGBC50TKB; TGBC51TKB
UMRC3,
UMRC7,
UO31,
UPCISCC026,UPCISCC016
UPCISCC040,
UPCISCC074,
UPCISCC090,UPCISCC152
UPCISCC154,
KOPN8,
CAL72,
JEKO1,
SCMCRM2,
Y79,
GOTO,
C106,
C387,
C396,
C107,
CCLP1,
H376,
H413,
HDLM2,HDLM1; HDLM3
ICC108,ICC11; ICC106; ICC10
ICC12,
ICC9,
JK1,
KARPAS417,
KHYG,
KMS28PE,KMS28BM
KOSC2CL343,
KPNRTBM1,KPNRTLN
KU812,
LS,
MEG01,
MHHCALL4,
MM28,
MM415,
MOLM1,
MUTZ5,MUTZ6; MUTZ7
NALM1,
NCO2,
NGP,
NH12,
OCIM2,
OCUG1,
OS252,
PFSK1,
RH18DM,
SCCOHT1,
SHI1,
SNU638,
SSP25,RBE
TGW,
TKKK,
U2904,
UCH1,
UMC11,
UWB1289,
WERIRB1,
YSCCC,
ATRT3,
C242,
C393,
CCLFPEDS0007T,
CCLFPEDS0009T,
CCLFPEDS0010T,
CORL26,
GUMBUS,
HSSY2,**YAFUSS
ICC6,
ICC7,
KML1,
MINO,
MOLM16,
NUDUL1,
OCIAML1,
OCIAML4,
OCILY1,
OCILY7,
OSC20,
TGBC1TKB,TGBC2TKB
U2940,
U2973,
U698M,
UPCISCC131,
WSUFSCCL,
WSUNHL,
YAFUSS,**HSSY2
CCLFPEDS0003T,
G415,
BEWO,JEG3
CCSW1,
COLO824,
DMS53,
EBC1,
GCT27,
H357,
JEG3,BEWO
LN340,
MFM223,
NCIH1155,
NCIH1623,
NCIH1694,
NCIH727,
NCIH82,
NOZ,
OZ,
PGA1,PGB958
RCK8,
RERFLCAD2,
RPMI2650,
SNU626,
SNU738,
SUSA,
TERA2,
WM88,
CCLFNEURO0009T,
CCLFNEURO0015T,
CCLFPANC0020T,
CCLFPANC0022T,
CCLFTHYR0010T,
FARAGE,
ICC18,
LPS789,
NCIH1105,
NCIH1436,
NCIH1876,NCIH1881; NCIH1882
NCIH510,
SHSY5Y,SKNSH; LAN5
U937GC11,
UACC3133,
381T,RD
ATRFLOX,HCT116
BIRCH,
C202,
C219,
C232,
C389,
CHLA259,
COGW408,
GBD1,
GH329,HELA
GH354,HELA
H1HELA,HELA
HCC1008,HCC1007; HCC1007BL
ICC1,
ICC11,ICC10; ICC106; ICC108
KHOS312H,KHOSNP
LPS21,
MP38,
NCCRBC51,
NCCRBC53,
NCCRBC54,
NCCRBC56,
NCCRBC57,
NCCRBC59,
NCCRBC67,
NCCRBC83,
NCCRBC92,
NCCRBCT1,
NCIH1672,NCIBL1672
NCIH187,
NCIH2135,
NCIH2195,NCIBL2195; NCIH2196; NCIH2198
NCIH345,
NCIH64,
NCIH847,
OCIP9A1 ,
ONDA11,NO11
PWR1E,
RC2,
RH3,RH28
RH5,
RMS13,
RS2,RS1
SKMEL19SKINCJ1,SKMEL19; SKMEL19SKINCJ2
SNU1553,
SNU334,
SUCCS1,
TGBC14TKB,
TTC516,
UACC1179,
UACC2087,
UACC732,
CHLA266,
COV413A,COV413B
EFM19,
NCIH209,NCIBL209
SIHA,
CORL105,
HS281T,
HS343T,
MCF10A,
ME180,SF767
MM170,
NCIH1184,NCIBL1184
NCIH1963,NCIBL1963
SNUATRT1,
SNUATRT5,
BECK10,
CAOV4,
VP303,
NCIH1417,
NCIH2171,NCIBL2171
HCT116ARID1AWT,
HCT116ARID1Amut,
NO10,ONDA10
RDPCDNA1,
SUDHL1,
U937NCB1,
U937NCB12,
U937NCB2A,
U937NCC4,
U937STAG2KOG2C5,
U937STAG2KOG2D5C,
U937STAG2KOG2E1,
U937STAG2KOG2G8B,
PATU8988T222,
PATU8988T853,
PATU8988T864,
PATU8988T875,
PATU8988TNTA,
PATU8988TNTD,
PATU8988TNTF,
A498,
A549BAXBAKDKO,
ALLSIL,
BEN,
BJHTERT,
BROLI,
BT483,
CACO2,C2BBE1
CAL148,
COLO668,
COLO677,RPMI8226; COLO775; RPMI8226
COLO680N,
CORL24,CORL103
CPCN,
DFCI024,
DLD1BAXBAKDKO,
DMS153,DMS154
DMS454,
DMS79,
DOHH2,
DOV13,
EB1,EB2
ECC12,
EFM192A,EFM192B; EFM192C
EVSAT,EvsaE
GA10,
GDM1,
HAED,
HBL1,
HCC1171,HCC1171BL
HCC1195,
HCC1438,
HCC1588,LS513
HCC1833,
HCC1897,
HCC2279,
HCC4006,
HCC78,HCC78BL
HCT116G9B,
HCT116PA,
HCT15,DLD1; HCT8; HCT15; HRT18
HEC108,
HEK293,
HEKTE,
HK2,
HMCB,RPMI7262; RPMI7272; RPMI7551; RPMI7781; RPMI7801; RPMI7922; RPMI7932; RPMI7962; RPMI7972; RPMI8002; RPMI8072; CHL1; COLO699
HMEL,
HOP92,143B; HTK; HOS
HOS,
HPBALL,
HRT18,DLD1; HCT8; HCT15; HRT18
HS172T,
HS229T,
HS255T,
HS600T,Hs600Sk
HS606T,Hs606Mg; Hs606Sk
HS616T,
HS618T,Hs618Lu
HS675T,
HS688AT,Hs688BT
HS698T,
HS706T,Hs706Sk
HS737T,Hs737Sk
HS739T,Hs739Sk
HS742T,Hs742Sk
HS819T,Hs819Sk
HS821T,Hs821Sk
HS822T,Hs822Sk
HS834T,
HS839T,
HS863T,
HS870T,Hs791Sk; Hs791T; Hs860T
HS888T,Hs888Lu; Hs888Sk; Hs894AT; Hs894BT; Hs894CT; Hs894DT; Hs894ELu; Hs899AT; Hs899BT; Hs899CT; Hs899DT
HS895T,Hs895Sk
HS934T,Hs906AM; Hs906BT; Hs906CSk; Hs906DMu; Hs935T
HS940T,
HSC4,
JHOM2B,
KG1,
KMH2,
KMS12PE,KMS12BM
KMS21BM,
KMS28BM,KMS28PE
LN414,
LN444,
MB157,
MDAMB134VI,
MFE296,
MG63,
MKL1,MKL1FB
MKL2,
MMNK1,
MOLP2,MOLP3
MOLP8,
MS1,
NCIH1341,
NCIH1385,
NCIH1563,
NCIH1618,
NCIH1651,
NCIH1734,
NCIH1755,
NCIH1781,
NCIH1819,NCIBL1819; NCIH1693
NCIH1838,
NCIH1869,
NCIH1930,
NCIH1993,NCIBL1993; NCIH2073; A549
NCIH2029,NCIH1994
NCIH2073,NCIBL1993; NCIH1993
NCIH2077,NCIBL2077
NCIH2081,
NCIH2085,
NCIH2106,
NCIH2227,
NCIH2228,
NCIH226,
NCIH2342,
NCIH2347,NCIBL2347
NCIH2444,
NCIH596,
NCIH69,
NCIH810,
NCIH820,
NCIH889,
NCIH929,
NHAHTDD,
NO11,ONDA11
NUDHL1,
OCILY10,KARPAS422
OCILY19,
OCILY3,
OELE,
OPM1,OPM2
OV56,
OVKATE,
PATU8988T219,
PATU8988T248,
PC9,PC14
PEDS037TFM,
PETA,
PFEIFFER,
PLB985,HL60
PRECLH,
RCC4,
RDP3F14,
RDP3F7,
RERFLCKJ,
RERFLCMS,
RERFLCSQ1,
RH18,RH18DM
RMS559,
RPE101,
RPE1A4D ,
RPE74,
RS5,
SALE,
SBC5,
SCC9,
SCLC21H,SCLC22H
SF763,
SF782,
SJRH30,RH30
SKLU1,
SKMEL28,
SKMEL31,
SKRC52,
SNB19,U251MG; U251; B217
SNU1214,
SNU899,
SUDHL5,
SUDHL6,
SUDHL8,
SUPB15,SUPB13
SW1353,
SW48BAXBAKDKO,
SW900,
T173,F173
T3M10,
TALL1,
TE125T,
TE14,
TE159T,
TIG3TD,
TO175T,
TOLEDO,
TOM1,
U138,
U266B1,U255; U268
U2932,
U373MG,
U937SMC3HET1,
U937SMC3HET2,
UACC893,
UTMC2,
VMRCRCZ,
WAGA,
WSUDLCL2,
LPS067,
LPS510,
MAMEL27,
MAMEL46,
NZM1,NZM2
NZM11,
NZM12,
NZM2,NZM1
NZM3,
NZM30,
NZM4,
NZM40,
NZM42,NZM48
NZM43,
NZM6,
NZM7,
ROS50,
SNU1066,
SEKI,
BHT101,
CAL62,
CI1,
CMK86,CMK115
ECGI10,
FTC133,FTC236; FTC238
HS611T,
LN428,
NCIH1836,
RI1,
TT2609C02,TT2609A02; TT2609B02
YD10B,
93T449,
95T1000,
CORL321,
HKA1,
HSC5,
HT,
JAR,
JM1,
JVM3,
KHM1B,KHM1A
KMLS1,
L1236,
L540,L538
LPS27,
LPS6,
MC116,
MEC1,MEC2
MHHCALL3,
MOLT16,MOLT17
RAJI,NC37
RCHACV,RCHADD
SW13,
SW954,
1618K,
8505C,
94T778,94T779
BICR3,
BJAB,
BV173,
CORL32,
DND39,
DOGKIT,
HCC1739BL,
KARPAS1718,
KASUMI2,
LC1SQSF,LC1sq; LC1F; LC1SQ
LO68,
LOUCY,
LPS141,
LPS853,
MEGA2,
MERO25,
MERO41,
MERO48A,Mero48b; Mero48c; Mero48d
MERO82,
MERO83,
MERO84,
MERO95,
MJ,
ML1,
MO,MoB
MOLM14,MOLM13
MOLM20,CNLBC1
MOLT3,MOLT4
MPNST14,
MPNST176,
MPNST605,
MPNST69,
MUTZ3,
NAMALWA,NAMALWAPNT
NCCIT,
OUMS27,
P12ICHIKAWA,
P3HR1,Jiyoye; JIYOYEP2003; 2B8
PEER,BE13
RAMOS,
SAT,
SCC3,
SNU2372,
ST486,
SUPT11,
TANOUE,ST; GRST
TASK1,
TR146,
UCSDAML1,
ULA,
UPCISCC029A,
UPCISCC072,
UPCISCC099,
UPCISCC111,
UPCISCC114,
UPCISCC172,
UPCISCC200,
VAESBJ,
VAL,
VMRCMELG,
VP267,VP229
WAOSEL,
HCT116,HCT116a; HCT116b
CHLA32,
CORL88,
HEP3B217,
LU65,
NCIH1975,
R262,
253JBV,253J
BDCM,
PEDS092T,
CHLA57,
CL11,CL11m
HS936T,
KPNSI9S,KPNSI
OCUM1,
RCM1,
SNU478,
SW948,
RERFGC1B,
SIGM5,
COLO320,COLO321
COLO684,COLO685; COLO704
CW2,
DND41,
HUG1N,HuG1
KMS12BM,KMS12PE
KO52,
LOXIMVI,
MOLT4,MOLT3
NCIH1793,
NCIH508,
NUGC4,
OCIM1,
QGP1,
RH41,Rh4
SKM1,
SNU1040,
SNU175,
SNU407,
TE15,
G401,
PANC0327,
PATU8988T,PaTu8988s
STM9101,
2313287,
1777NRPMET,
22RV1,CWR22
A1207,
A704,
ACHN,
AM38,
ASKA,
ATRT1,
BICR18,
BL2,IARC304
BT20,
BT474,
CA46,
CAL54,
CAL851,
CALU3,
CAPAN1,
CAPAN2,
CBAGPN,
CCRFCEM,AGRON; CEMC1; CEMC2
CHLA01,
CHLA10,CHLA9
CHLA200,
CHLA258,
CHLA9,CHLA10
CHLA99,
CHP126,CHP126BL
CL34,
COLO704,COLO684
COLO783,
COLO829,COLO829BL; COLO831; COLO832; COLO833; COLO834; COLO835; COLO838; COLO839; COLO845; COLO848; COLO849; COLO853; COLO857; COLO858; COLO794; COLO818; COLO800
CORL95,
CUEWS88755,
D384,
D556,
DAUDI,
DBTRG05MG,
DERL2,DERL7
DL,
DL40,
DMS114,
DMS273,
DU145,
ECC10,
FEPD,
FUJI,
FUOV1,
G361,
GMS10,
GOS3,U343MGa; U343
GP2D,GP5d
GRANTA519,
HCC1500,
HCC1569,
HCC1599,HCC1599BL
HCC2814,
HCC70,
HDMB03,
HDQP1,
HH,
HL60,EOSHL60; PLB985
HPAC,KCIMOH1
HPAFII,HPAF
HS704T,Hs704Sk
HUH28,
HUPT4,
HUT78,H9
IGR37,IGR39
IGROV1,
JHUEM2,
JHUEM3,
JL1,
KARPAS384,
KARPAS620,
KASUMI6,
KKU055,
KMRC2,
KPMRTRY,
KYM1,
LAMA84,
LAN6,
LC1F,LC1sq; LC1SQSF
LOUNH91,
LS123,
LS411N,
MDAMB175VII,
MDAMB361,
MDAPCA2B,MDAPCa2a
ME1,
MFE280,
MKN1,
MKN7,
MONOMAC6,MonoMac1
MOTN1,PLT2
MSKB9,
MTA,
NBLS,
NCIH1355,
NCIH146,
NCIH196,
NCIH2066,
NCIH2405,
NCIH3255,NCIH322
NUGC2,
OCIAML5,
PANC0213,
PL21,
R308,
RDP3F9,
RS411,
SKCO1,
SKNO1,
SKNSH,SHSY5Y
SNU1272,
SNU283,
SNU324,
SNU466,
SNU489,
SNU620,
SNU81,
SNU878,
SNUC1,
SNUC2A,SNUC2B
SNUC4,
SUMB004,
SW1990,
SW480,SW620
TE441T,
TE617T,
TT,
TTC1240,
ZR7530,ZR7527
D271,
CAL12T,
HUO9,HuO9N2
IM95,
M07E,M07
NCIH522,
SNU16,
SUMB002,
CHLA02ATRT,
CHLA04ATRT,
CHLA05ATRT,
CATES1B,
DV90,LS180
FM28,
FM45,
FM56,
FM57,
FM58,
FM6,
FM70,
FM72,
FM74,
FM78,
FM79,
FM81,FM76
FM82,
FM86,
FM88,
FM9,
FM92,
FM95,
FRM101,
FRM119,
FRM134,
FRM170,
FRM204,
GB2,
GRMEL3,
GRMEL8,
GRMEL9,
HUOCE,
ICC16,
ICC17,
ICC19,
JU77,
JURKAT,
LIM1863,
LIM1899,
LIM2099,
LIM2405,
LIM2537,
LIM2550,
LIM2551,
LPS26,
LPS407,
LPS774,
M21,
M24,
MAMEL1,
MAMEL10,
MAMEL11,
MAMEL15,
MAMEL19,
MAMEL20,
MAMEL21,
MAMEL23,
MAMEL25,
MAMEL28,
MAMEL30,
MAMEL32,
MAMEL33,
MAMEL38,
MAMEL4,
MAMEL40,
MAMEL47,
MAMEL51,
MAMEL52,
MAMEL55,
MAMEL56,
MAMEL6,
MAMEL65,
MAMEL7,
MAMEL71,
MAMEL74,
ME15392,LCL15392
ME501,
MEL1359,
MEL1479,
MEL624,
MELLE,
MELLG,
MELNT100,
MELNT200,
MELNT300,
MELNT500,
MELNT900,
MELSOE,
MELWL,
MM253,
MM466,
MM473,
MM485,
MM537,
MM576,
MM603,
MZMEL13,
MZMEL3,
MZMEL5,
NALM16 ,
NCIH1522,
NCIH1770,NCIBL1770
NCIH2107,NCIBL2107; NCIH2108
NCIH2108,NCIBL2107; NCIH2107
NIHOVCAR3,ONCODG1
NO36,
NRHLS1,
NZM5,
OCM3,SKMEL28
ONE58,
U937GC1A1,
U937GC3E1,
U937STAG2A2F11,
U937STAG2A2G4,
UKRVMEL13,
UKRVMEL17,
UKRVMEL2,
UKRVMEL25,
UKRVMEL3,
UKRVMEL30,
UKRVMEL31,
UKRVMEL38,
WM1366,
WM139,
WM1862,
WM75,WM373
WM852,
A4FUK,
HCC2450,
NCIH2196,NCIBL2195; NCIH2195; NCIH2198
OV17R,
OVSAHO,
HS707T,
OCIMY5,
C84,
CCLFPEDS0008T,
G401,
HCC1187,HCC1187BL
HS939T,Hs939Sk
JVM2,
SNU245,
UACC812,
A375SKINCJ3,A375; A375SKINCJ1; A375SKINCJ2; A373C6
HCC33,HCC33BL
SW756,
A375SKINCJ1,A375; A375SKINCJ3; A375SKINCJ2; A373C6
A375SKINCJ2,A375; A375SKINCJ1; A375SKINCJ3; A373C6
R256,
SKMEL19,SKMEL19SKINCJ1; SKMEL19SKINCJ2
SUM52PE,
CCLFPEDS0001T,PEDS005TSUSP
